datadate,단가(원),거래량,거래대금(원),경매건수,도매시장코드,도매법인코드,산지코드 ,해당일자_전체평균가격(원),해당일자_전체거래물량(kg),하위가격 평균가(원),상위가격 평균가(원),하위가격 거래물량(kg),상위가격 거래물량(kg),일자별_도매가격_최대(원),일자별_도매가격_평균(원),일자별_도매가격_최소(원),일자별_소매가격_최대(원),일자별_소매가격_평균(원),일자별_소매가격_최소(원),수출중량(kg),수출금액(달러),수입중량(kg),수입금액(달러),무역수지(달러),주산지_0_초기온도(℃),주산지_0_최대온도(℃),주산지_0_최저온도(℃),주산지_0_평균온도(℃),주산지_0_강수량(ml),주산지_0_습도(%),주산지_1_초기온도(℃),주산지_1_최대온도(℃),주산지_1_최저온도(℃),주산지_1_평균온도(℃),주산지_1_강수량(ml),주산지_1_습도(%),주산지_2_초기온도(℃),주산지_2_최대온도(℃),주산지_2_최저온도(℃),주산지_2_평균온도(℃),주산지_2_강수량(ml),주산지_2_습도(%),일자구분_중순,일자구분_초순,일자구분_하순,월구분_10월,월구분_11월,월구분_12월,월구분_1월,월구분_2월,월구분_3월,월구분_4월,월구분_5월,월구분_6월,월구분_7월,월구분_8월,월구분_9월
20130101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,11.8,2.4,6.4,0.0,84.8 ,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,13.7,5.3,9.3,0.0,82.5 ,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130103,5005.0,470.0,2352350.0,1.0,210001.0,21000101.0,617 ,4149.647413793104,580.0,494.9590909090909,5005.0,110.0,470.0,,,,,,,,,,,,,,,,,,8.0,9.9,4.1,7.5,0.0,70.7 ,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130104,9130.86,530.0,4849845.0,10.0,110001.0,11000103.0,717 ,5103.86685483871,1240.0,2083.028028169014,9150.650943396226,710.0,530.0,,,,,,,,,,,,,,,,,,3.6,11.6,3.4,7.7,0.0,82.9 ,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130105,1461.46,150.0,218781.0,3.0,110001.0,11000101.0,719 ,3805.349811320754,2650.0,1590.6010101010102,5126.193975903614,990.0,1660.0,,,,,,,,,,,,,,,,,,7.5,10.6,6.5,8.6,0.0,65.6 ,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130106,1761.76,860.0,1511610.1,16.0,210001.0,21000101.0,637 ,3284.245990990991,2220.0,1950.9389814814815,4547.378947368421,1080.0,1140.0,,,,,,,,,,,,,,,,,,8.8,12.0,5.2,8.8,1.0,73.0 ,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130107,3466.53,1100.0,3816180.0,20.0,110001.0,11000101.0,637 ,4128.155847457628,2360.0,3237.843253012048,6239.4685714285715,1660.0,700.0,,,,,,,,,,,,,,,,,,8.1,12.0,5.2,9.1,1.0,71.1 ,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,11.5,7.7,8.9,2.4,81.9 ,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130109,3103.1,240.0,745745.0,4.0,220001.0,22000101.0,678 ,4089.475789473685,4655.0,3040.8187447698747,5196.0057395143485,2390.0,2265.0,,,,,,,,,,,,,,,,,,8.3,8.4,4.7,6.7,2.5,68.0 ,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130110,3673.67,1040.0,3823820.0,27.0,110001.0,11000101.0,637 ,3701.042142377434,2978.0,3006.2219601677148,4940.029906542056,1908.0,1070.0,,,,,,,,,,,,,,,,,,4.7,6.5,3.5,4.9,0.0,61.5 ,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130111,6286.28,590.0,3701295.0,13.0,110001.0,11000103.0,717 ,3547.1058700696058,4310.0,2601.9987947882737,5887.008064516129,3070.0,1240.0,,,,,,,,,,,,,,,,,,3.3,4.8,1.0,3.2,0.0,62.4 ,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130112,4704.7,390.0,1834833.0,9.0,110001.0,11000101.0,637 ,3985.116743119266,2180.0,2191.42,4747.14477124183,650.0,1530.0,,,,,,,,,,,,,,,,,,4.5,8.3,4.1,5.7,2.0,66.0 ,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130113,1781.78,175.0,310689.0,3.0,250003.0,25000301.0,636 ,4068.740542372881,4425.0,2691.948279883382,4940.031586715867,1715.0,2710.0,,,,,,,,,,,,,,,,,,4.4,9.5,1.0,4.6,2.0,63.6 ,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130114,6366.36,140.0,891901.01,7.0,230001.0,23000104.0,719 ,4329.817475197408,4939.0,3221.659090909091,5394.42378324732,2420.0,2519.0,,,,,,,,,,,,,,,,,,2.4,3.4,1.0,2.1,0.0,65.1 ,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3.8,1.0,2.2,0.0,62.2 ,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130116,5145.14,140.0,719280.0,3.0,110008.0,11000802.0,740 ,3679.064735054348,2944.0,2576.624810126582,4956.084589442815,1580.0,1364.0,,,,,,,,,,,,,,,,,,2.2,5.5,1.7,3.1,0.0,58.1 ,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130117,3263.26,160.0,520978.5,4.0,310101.0,31010101.0,740 ,2911.019829589466,7746.0,2132.29605,3742.5454885210893,4000.0,3746.0,,,,,,,,,,,,,,,,,,1.9,6.5,1.2,3.3,0.0,61.5 ,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130118,6113.88,180.0,1102601.5,5.0,350301.0,35030101.0,740 ,3433.0633453195687,8621.0,2698.5400924815895,4974.717289719625,5839.0,2782.0,,,,,,,,,,,,,,,,,,3.6,7.0,3.1,4.8,0.0,64.4 ,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130119,5385.38,160.0,861660.8,3.0,380201.0,38020101.0,740 ,4417.07304308931,6707.0,3042.261548767417,6141.710521008404,3732.0,2975.0,,,,,,,,,,,,,,,,,,4.7,6.3,1.0,4.4,0.0,71.0 ,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130120,1891.89,325.0,615615.0,2.0,220001.0,22000101.0,636 ,3318.439775855289,10172.0,2181.0370264983108,4724.378588700814,5623.0,4549.0,,,,,,,,,,,,,,,,,,5.2,5.9,1.0,2.5,0.0,69.0 ,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130121,4785.21,380.0,1821820.0,6.0,311201.0,31120106.0,719 ,3696.541333819685,16449.0,2607.4458750596095,5611.223742454728,10485.0,5964.0,,,,,,,,,,,,,,,,,,1.6,5.1,1.2,3.0,0.0,62.7 ,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.9,1.0,2.5,0.0,65.1 ,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130123,3556.44,510.0,1814813.0,9.0,110001.0,11000102.0,637 ,4136.260261312938,25104.0,2954.563536740974,5472.627756557167,13323.0,11781.0,,,,,,,,,,,,,,,,,,-0.6,2.3,-1.3,0.8,0.0,67.8 ,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130124,2837.16,70.0,199199.0,4.0,110001.0,11000102.0,138 ,3991.767517699393,31922.0,3012.1489534454577,5425.995638749518,18967.0,12955.0,,,,,,,,,,,,,,,,,,0.7,5.1,1.0,2.2,0.0,60.6 ,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,5.3,1.0,2.2,0.0,63.6 ,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,7.4,-3.4,3.2,0.0,76.3 ,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,9.8,1.0,5.0,0.0,66.3 ,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,9.1,1.0,5.2,0.0,59.8 ,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,12.7,5.5,9.0,0.0,84.7 ,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,5.5,1.0,3.0,1.0,68.1 ,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4.1,-1.3,1.7,0.0,66.5 ,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130201,9649.64,500.0,4826822.0,14.0,110001.0,11000101.0,719 ,6124.235000000001,1540.0,1761.3117910447759,9484.18735632184,670.0,870.0,,,,,,,,,,,,,,,,,,1.5,6.0,1.0,2.8,0.0,62.2 ,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130202,8138.13,1120.0,9091899.0,28.0,110001.0,11000101.0,719 ,5696.581565396499,5826.0,3435.8368948247075,7275.807288629738,2396.0,3430.0,,,,,,,,,,,,,,,,,,1.1,5.6,1.0,2.7,0.0,66.6 ,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130203,8068.06,280.0,2258256.0,11.0,240001.0,24000101.0,719 ,5808.288074712644,5568.0,3819.845900321544,7414.536168831169,2488.0,3080.0,,,,,,,,,,,,,,,,,,2.6,6.9,1.0,4.4,0.0,72.8 ,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130204,5014.98,140.0,702696.6,3.0,370401.0,37040102.0,740 ,5700.841739565109,8002.0,3897.7523274917853,7214.6078390804605,3652.0,4350.0,,,,,,,,,,,,,,,,,,4.7,10.0,4.3,6.8,2.2,71.4 ,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,7.8,5.9,7.0,3.5,86.5 ,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130206,6523.47,1960.0,12819807.0,53.0,110001.0,11000104.0,719 ,6418.820625274564,13658.0,4862.104715127702,6968.258841010401,3563.0,10095.0,,,,,,,,,,,,,,,,,,5.7,6.2,2.4,3.9,0.0,62.4 ,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130207,5864.13,1905.0,11169819.0,40.0,110001.0,11000101.0,719 ,5881.135886559802,8110.0,5070.103702671312,6798.742601839685,4305.0,3805.0,,,,,,,,,,,,,,,,,,2.5,7.0,1.4,3.4,0.0,65.5 ,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
