datadate,초기온도(℃),최대온도(℃),최저온도(℃),평균온도(℃),강수량(ml),습도(%)
20130101,1.1,11.4,-1.2,6.0,0.0,69.0
20130102,3.0,14.6,1.9,7.3,0.0,66.3
20130103,5.7,12.2,2.4,6.5,0.0,54.7
20130104,2.7,11.2,1.0,6.0,0.0,62.1
20130105,3.5,10.2,1.0,5.5,0.0,71.1
20130106,7.0,10.9,3.9,7.0,0.0,62.8
20130107,3.4,9.4,1.0,5.8,0.0,72.3
20130108,7.2,12.6,5.5,8.1,2.4,79.3
20130109,7.3,10.3,3.2,7.2,2.5,57.7
20130110,2.3,6.5,1.0,3.3,0.0,49.9
20130111,1.0,4.0,-3.4,0.1,0.0,37.2
20130112,1.2,8.0,-1.5,4.4,0.0,47.6
20130113,1.9,5.7,-2.9,1.6,0.0,43.1
20130114,-2.2,1.3,-5.4,-2.9,0.0,37.1
20130115,-5.9,4.6,-9.0,-3.4,0.0,29.8
20130116,-2.9,5.5,-4.7,-0.4,0.0,36.8
20130117,-1.9,6.9,-4.5,0.8,0.0,47.2
20130118,0.3,8.0,-1.2,4.7,0.0,48.7
20130119,2.5,8.8,-2.0,3.4,0.0,55.5
20130120,0.7,4.0,-2.4,1.7,0.0,53.4
20130121,-2.7,2.9,-5.3,-1.7,0.0,50.0
20130122,-0.6,3.2,-3.9,0.0,0.0,47.9
20130123,-4.3,1.7,-7.0,-3.8,0.0,39.3
20130124,-4.0,3.4,-6.2,-2.6,0.0,36.1
20130125,-2.2,6.0,-6.0,-0.5,0.0,34.2
20130126,-2.0,9.5,-5.7,1.3,0.0,39.3
20130127,4.4,11.2,2.1,6.5,0.0,35.6
20130128,1.0,12.4,-3.0,4.6,0.0,31.1
20130129,4.4,5.1,2.7,4.2,2.9,78.2
20130130,4.8,5.5,-1.8,3.6,3.0,56.1
20130131,-2.4,7.5,-5.6,0.1,0.0,49.0
20130201,-0.2,7.3,-1.7,3.3,0.0,35.9
20130202,-0.1,8.8,-3.1,2.8,0.0,24.0
20130203,0.5,11.2,-1.0,6.7,0.0,36.1
20130204,3.5,14.3,2.3,7.3,0.0,41.5
20130205,6.6,11.9,4.1,6.9,4.0,82.3
20130206,4.0,7.3,1.0,3.8,4.5,41.5
20130207,0.5,9.1,-1.6,4.0,0.0,43.5
20130208,1.6,9.4,1.0,4.3,0.0,48.5
20130209,1.4,4.6,-3.0,1.4,0.0,42.5
20130210,-3.5,2.3,-6.0,-2.7,0.0,38.5
20130211,-3.5,5.4,-6.5,-1.7,0.0,43.5
20130212,-2.4,7.4,-4.2,1.0,0.0,43.5
20130213,-0.1,10.0,-2.5,3.9,0.0,41.2
20130214,4.3,9.4,1.0,4.8,0.0,48.6
20130215,1.4,13.8,-2.3,5.4,0.0,45.8
20130216,3.7,16.2,1.0,9.8,1.0,65.8
20130217,11.9,16.2,4.8,12.0,1.1,58.6
20130218,4.5,7.3,1.0,3.8,1.0,25.4
20130219,1.5,11.5,-3.0,5.0,0.0,44.6
20130220,12.4,14.5,1.0,10.0,0.0,52.3
20130221,-0.5,10.5,-3.3,3.1,0.0,50.7
20130222,3.2,5.4,2.1,4.3,12.8,85.5
20130223,5.6,7.8,1.0,4.7,27.5,60.5
