datadate,초기온도(℃),최대온도(℃),최저온도(℃),평균온도(℃),강수량(ml),습도(%)
20130101,1.3,9.5,-1.8,4.6,0.0, 
20130102,3.4,10.9,2.0,5.7,0.0, 
20130103,3.7,8.3,-3.3,3.2,0.0, 
20130104,0.1,10.0,1.0,5.5,0.0, 
20130105,-0.2,8.8,-2.2,4.5,0.0, 
20130106,6.5,11.5,2.3,7.0,0.0, 
20130107,2.0,10.3,-2.1,4.0,0.0, 
20130108,2.4,12.1,1.9,7.1,0.0, 
20130109,5.9,6.2,-1.4,4.6,0.0, 
20130110,-1.5,2.7,-6.3,-1.6,0.0, 
20130111,-5.0,1.9,-9.3,-4.2,0.0, 
20130112,-1.1,3.0,-3.8,-0.3,0.0, 
20130113,-4.4,-1.0,-8.4,-4.6,0.0, 
20130114,-6.5,-3.7,-9.1,-6.5,0.0, 
20130115,-8.4,-1.0,-12.8,-6.6,0.0, 
20130116,-7.8,3.3,-12.3,-5.6,0.0, 
20130117,-6.3,3.7,-10.3,-4.5,0.0, 
20130118,-2.2,4.7,-5.4,-0.8,0.0, 
20130119,-2.7,4.3,-3.9,-1.4,0.0, 
20130120,-1.4,-1.0,-6.1,-2.7,1.5, 
20130121,-6.8,-1.0,-11.2,-6.0,1.1, 
20130122,-0.7,-1.0,-8.7,-5.7,1.0, 
20130123,-9.3,-3.4,-13.3,-8.2,0.0, 
20130124,-10.9,-1.0,-14.4,-8.1,0.0, 
20130125,-8.6,1.7,-14.0,-7.1,0.0, 
20130126,-6.8,4.4,-11.7,-3.1,0.0, 
20130127,4.4,5.1,-5.8,-0.4,3.5, 
20130128,-6.2,6.1,-9.9,-2.1,3.5, 
20130129,1.4,3.4,1.0,2.0,2.5, 
20130130,0.4,-1.0,-7.3,-3.8,4.0, 
20130131,-8.3,-1.0,-11.6,-6.5,0.0, 
20130201,-6.2,1.6,-7.3,-3.5,0.0, 
20130202,-5.5,3.7,-9.8,-2.5,0.0, 
20130203,1.0,7.2,-2.2,3.5,0.0, 
20130204,-1.5,5.9,-5.3,1.0,0.0, 
20130205,3.2,4.4,1.0,2.7,0.0, 
20130206,-0.1,2.6,-3.3,-0.6,0.0, 
20130207,-3.0,4.2,-6.1,-1.8,0.0, 
20130208,-1.8,2.9,-6.0,-2.1,0.0, 
