datadate,초기온도(℃),최대온도(℃),최저온도(℃),평균온도(℃),강수량(ml),습도(%)
20130101,-0.1,9.7,-2.8,3.0,0.0, 
20130102,5.5,9.2,1.1,5.6,0.0, 
20130103,0.5,7.0,-2.9,2.0,0.0, 
20130104,1.7,9.3,1.0,4.6,0.0, 
20130105,2.1,7.8,1.0,4.6,0.0, 
20130106,3.3,11.9,1.4,4.9,0.0, 
20130107,1.8,10.3,-1.3,5.6,0.0, 
20130108,3.4,10.3,2.1,5.6,0.0, 
20130109,4.4,5.1,-2.1,3.1,0.0, 
20130110,-2.7,2.2,-6.0,-3.1,0.0, 
20130111,-6.0,2.3,-8.5,-3.7,0.0, 
20130112,-0.5,1.9,-4.6,-1.7,0.0, 
20130113,-5.2,-1.0,-7.4,-5.0,0.0, 
20130114,-7.3,-4.2,-9.0,-7.0,0.0, 
20130115,-7.8,-1.0,-8.9,-5.9,0.0, 
20130116,-4.7,3.6,-9.3,-4.1,0.0, 
20130117,-5.3,5.0,-8.3,-3.4,0.0, 
20130118,0.6,4.4,-3.4,0.2,0.0, 
20130119,-3.0,4.8,-6.0,-1.9,0.0, 
20130120,-2.0,-1.0,-7.8,-3.3,3.3, 
20130121,-7.7,1.4,-10.5,-5.8,3.0, 
20130122,-3.0,-1.7,-9.0,-6.6,1.0, 
20130123,-9.1,-2.2,-11.5,-7.6,0.0, 
20130124,-8.5,-1.0,-12.3,-7.1,0.0, 
20130125,-6.5,2.3,-11.6,-6.5,0.0, 
20130126,-6.3,3.4,-8.8,-2.4,0.0, 
20130127,5.0,5.6,-4.8,-1.5,2.5, 
20130128,-5.2,3.3,-8.9,-3.1,2.5, 
20130129,0.8,1.2,1.0,1.1,2.3, 
20130130,-0.4,-1.0,-7.2,-4.7,3.0, 
20130131,-7.1,1.1,-10.9,-6.6,0.0, 
20130201,-6.2,1.0,-6.9,-4.9,0.0, 
20130202,-6.7,4.3,-9.8,-3.3,0.0, 
20130203,0.5,6.5,-3.3,1.9,0.0, 
