datadate,초기온도(℃),최대온도(℃),최저온도(℃),평균온도(℃),강수량(ml),습도(%)
20130101,-1.2,10.9,-2.4,4.1,0.0,82.3
20130102,0.1,12.9,1.0,6.1,0.0,83.8
20130103,5.1,8.7,-1.5,4.4,0.0,76.7
20130104,-1.9,10.8,-3.4,2.5,0.0,87.7
20130105,-0.2,7.7,-1.5,4.3,0.0,77.5
20130106,4.8,12.4,1.7,6.5,1.0,77.9
20130107,1.2,8.7,-1.7,5.1,1.0,81.3
20130108,5.6,13.5,4.4,6.9,0.0,74.6
20130109,6.3,6.7,1.0,4.7,0.0,67.2
20130110,1.6,4.2,1.0,2.2,0.0,62.0
20130111,0.2,2.4,-5.2,-1.3,0.0,58.7
20130112,-2.6,7.5,-3.4,1.8,0.0,73.7
20130113,-0.4,6.3,-5.3,-0.4,0.0,62.3
20130114,-0.5,-1.0,-5.5,-3.9,4.1,72.9
20130115,-5.0,-1.0,-9.7,-5.2,4.5,62.4
20130116,-6.9,2.5,-7.7,-3.9,0.0,66.8
20130117,-6.6,4.1,-8.0,-3.3,0.0,68.9
20130118,-4.9,5.8,-5.9,-0.3,0.0,68.6
20130119,-2.5,4.2,-5.0,-0.9,0.0,74.8
20130120,-2.1,2.6,-2.8,-0.8,1.9,71.9
20130121,-1.5,2.3,-3.4,-1.5,2.0,75.9
20130122,1.2,1.6,-4.5,-1.9,1.0,70.2
20130123,-4.5,-2.5,-8.7,-5.4,4.0,89.6
20130124,-4.6,-1.0,-6.6,-4.2,5.5,77.3
20130125,-4.4,1.6,-7.0,-4.3,0.0,76.2
20130126,-5.6,6.7,-9.8,-2.1,0.0,72.5
20130127,2.6,6.2,-4.9,1.1,0.0,64.0
20130128,-4.4,9.8,-7.3,-0.3,0.0,58.8
20130129,2.8,10.7,2.1,5.0,1.3,76.6
20130130,1.2,2.7,-3.9,-0.4,2.1,66.0
20130131,-5.3,1.9,-8.7,-4.6,0.0,66.0
20130201,-4.2,3.1,-6.1,-2.3,0.0,62.5
20130202,-3.3,3.1,-8.5,-2.7,0.0,63.5
20130203,-5.6,8.5,-7.6,-0.6,0.0,76.4
20130204,1.1,11.8,1.0,6.7,0.0,67.0
20130205,5.0,5.4,3.0,4.4,1.0,81.3
20130206,3.5,3.6,-1.3,1.6,1.0,60.8
20130207,-0.9,5.3,-4.1,-0.7,0.0,62.3
20130208,-1.8,2.9,-2.3,0.1,0.0,69.5
20130209,0.5,-1.0,-3.9,-2.2,0.0,65.9
20130210,-4.0,-2.2,-5.5,-3.8,2.7,80.4
20130211,-3.8,-1.0,-5.8,-2.8,4.2,75.4
20130212,-0.1,3.8,-4.6,0.3,0.0,67.3
20130213,-4.7,7.4,-7.6,0.3,0.0,79.0
20130214,3.9,5.6,-3.1,2.7,0.0,65.3
20130215,-3.8,10.9,-7.6,0.3,0.0,70.0
20130216,-2.4,13.8,-4.5,5.7,1.9,78.0
20130217,11.5,11.7,-1.3,4.4,2.5,73.5
20130218,-1.2,2.6,-4.7,-1.0,0.0,55.4
20130219,-5.5,11.5,-6.7,2.8,0.0,61.0
20130220,11.3,11.6,-2.9,3.2,10.1,74.7
20130221,-3.1,7.8,-8.0,-1.0,11.0,62.8
20130222,4.2,8.3,1.7,5.2,8.9,81.0
20130223,1.7,2.7,-1.1,1.4,14.0,65.0
20130224,-0.9,4.1,-3.6,0.3,0.0,54.3
20130225,-2.0,9.1,-2.9,2.9,0.0,63.7
20130226,0.1,9.5,-3.8,2.4,0.0,66.9
20130227,-2.1,9.6,-4.9,1.9,0.0,63.3
20130228,-2.2,12.4,-5.5,2.8,0.0,58.6
20130301,0.2,13.1,-1.4,7.5,0.0,58.4
20130302,4.6,6.2,-1.5,2.3,2.5,69.3
20130303,-0.8,11.4,-5.1,2.4,2.5,63.5
20130304,-0.4,12.6,-3.5,4.4,0.0,64.9
20130305,0.6,13.4,-2.8,5.1,0.0,69.1
20130306,4.6,5.2,-3.1,2.0,0.0,52.0
20130307,-3.7,2.0,-5.3,-2.0,1.5,66.5
20130308,-0.3,7.2,-1.6,2.5,1.5,60.9
20130309,3.3,10.8,-1.7,5.3,0.0,58.1
20130310,5.0,12.1,-4.1,4.6,0.0,67.0
20130311,-1.4,16.2,-4.6,5.1,0.0,48.4
20130312,2.3,17.0,-3.1,8.1,0.0,43.8
20130313,5.3,9.2,2.1,5.3,0.0,69.4
20130314,3.9,8.2,-1.1,4.6,0.0,59.2
20130315,1.0,9.6,-3.5,3.7,0.0,59.9
20130316,-0.9,10.7,-3.0,3.2,0.0,63.8
20130317,-1.2,13.2,-4.7,3.8,0.0,66.0
20130318,2.2,16.2,1.0,8.1,0.0,57.2
20130319,2.0,17.8,-2.5,7.7,0.0,52.2
20130320,3.5,12.1,1.0,6.1,5.1,71.8
20130321,5.4,7.5,3.0,5.6,7.4,67.1
20130322,1.4,12.6,-2.0,5.1,0.0,67.9
20130323,4.6,13.9,2.3,6.9,0.0,59.4
20130324,1.5,12.6,1.0,7.7,0.0,64.9
20130325,5.2,11.0,2.8,6.3,1.4,74.4
20130326,3.5,10.8,1.0,5.9,1.5,68.1
20130327,5.7,11.1,3.8,6.6,1.0,77.3
20130328,2.5,15.1,-1.3,7.2,1.0,70.1
20130329,4.8,12.0,4.4,7.3,1.0,81.5
20130330,4.3,15.5,-1.4,8.0,1.0,69.1
20130331,6.9,13.8,6.0,8.5,1.5,76.3
20130401,6.5,12.2,4.2,7.7,1.5,75.8
20130402,3.6,14.3,-1.8,7.1,0.0,64.7
20130403,2.6,17.8,-1.8,10.2,0.0,57.0
20130404,6.0,22.0,2.6,11.8,0.0,42.5
20130405,10.3,15.4,9.8,13.1,7.6,78.0
20130406,14.6,14.8,7.5,12.0,4.0,92.9
20130407,7.9,19.2,6.9,10.7,3.5,86.5
20130408,8.5,17.8,6.2,10.1,0.0,86.7
20130409,6.9,20.1,6.9,11.9,0.0,77.2
20130410,11.7,21.4,9.3,13.9,0.0,55.9
20130411,11.8,15.5,8.2,10.8,9.8,73.2
20130412,8.1,16.2,5.3,10.5,11.0,39.4
20130413,5.1,18.5,2.1,10.7,0.0,54.1
20130414,10.4,18.9,10.2,14.2,0.0,50.5
20130415,12.4,24.4,11.8,16.1,1.0,71.9
20130416,12.4,23.9,9.6,14.9,1.0,84.4
20130417,9.8,17.9,9.4,13.8,9.0,90.9
20130418,8.6,20.6,8.0,12.6,10.5,80.5
20130419,10.1,17.7,6.1,12.2,0.0,50.0
20130420,7.6,15.6,7.0,10.9,0.0,60.2
20130421,8.1,17.8,5.8,11.5,0.0,70.0
20130422,8.5,18.6,6.6,11.8,0.0,73.8
20130423,7.0,21.3,3.0,12.1,0.0,65.5
20130424,8.0,22.0,4.2,14.2,0.0,52.1
20130425,12.9,22.2,10.6,16.6,0.0,67.0
20130426,13.4,18.9,9.6,14.3,0.0,58.9
20130427,10.0,18.0,7.0,12.5,0.0,52.3
