datadate,수출중량(kg),수출금액(달러),수입중량(kg),수입금액(달러),무역수지(달러)
201301,872712.0,7749813.0,0.0,0.0,7749813.0
201302,915124.0,7725640.0,0.0,0.0,7725640.0
201303,1091541.0,8585730.0,0.0,0.0,8585730.0
201304,738032.0,5685628.0,0.0,0.0,5685628.0
201305,219146.0,1617573.0,0.0,0.0,1617573.0
201306,2044.0,20866.0,0.0,0.0,20866.0
201307,1188.0,12520.0,0.0,0.0,12520.0
201308,1118.0,16090.0,0.0,0.0,16090.0
201309,2327.0,37792.0,0.0,0.0,37792.0
201310,2353.0,33029.0,0.0,0.0,33029.0
201311,156056.0,2226057.0,0.0,0.0,2226057.0
201312,785465.0,9271801.0,0.0,0.0,9271801.0
201401,863026.0,9192368.0,0.0,0.0,9192368.0
201402,888809.0,9115159.0,0.0,0.0,9115159.0
201403,1000740.0,9478578.0,0.0,0.0,9478578.0
201404,699765.0,6538173.0,0.0,0.0,6538173.0
201405,143290.0,1300322.0,0.0,0.0,1300322.0
201406,394.0,3343.0,0.0,0.0,3343.0
201407,521.0,8522.0,0.0,0.0,8522.0
201408,661.0,14927.0,2.0,18.0,14909.0
201409,159.0,1945.0,0.0,0.0,1945.0
201410,2012.0,32315.0,0.0,0.0,32315.0
201411,49563.0,749398.0,0.0,0.0,749398.0
201412,748483.0,9465600.0,0.0,0.0,9465600.0
201501,1135596.0,11601775.0,0.0,0.0,11601775.0
201502,990537.0,9748330.0,0.0,0.0,9748330.0
201503,1098816.0,9714307.0,0.0,0.0,9714307.0
201504,856421.0,7169634.0,0.0,0.0,7169634.0
201505,212275.0,1744095.0,0.0,0.0,1744095.0
201506,336.0,9265.0,0.0,0.0,9265.0
201507,624.0,9327.0,0.0,0.0,9327.0
201508,497.0,7107.0,0.0,0.0,7107.0
201510,60.0,5073.0,0.0,0.0,5073.0
201511,140086.0,1986205.0,0.0,0.0,1986205.0
201512,823369.0,10652307.0,0.0,0.0,10652307.0
201601,832854.0,9966183.0,0.0,0.0,9966183.0
201602,909795.0,10541855.0,0.0,0.0,10541855.0
201603,981715.0,9444249.0,0.0,0.0,9444249.0
201604,704467.0,6657415.0,0.0,0.0,6657415.0
201605,248597.0,2267122.0,0.0,0.0,2267122.0
201606,5842.0,51707.0,0.0,0.0,51707.0
201608,65.0,9446.0,0.0,0.0,9446.0
201609,50.0,7142.0,0.0,0.0,7142.0
201611,56818.0,995674.0,0.0,0.0,995674.0
201612,833413.0,13039960.0,0.0,0.0,13039960.0
201301,1076.0,17039.0,243312.0,478724.0,-461685.0
