datadate,초기온도(℃),최대온도(℃),최저온도(℃),평균온도(℃),강수량(ml),습도(%)
20130101,4.9,12.9,4.0,8.2,0.0, 
20130102,8.8,15.2,7.4,10.7,0.0, 
20130103,8.5,15.1,4.8,9.8,0.0, 
20130104,4.9,15.1,2.3,8.7,0.0, 
20130105,8.3,13.8,7.4,10.2,1.0, 
20130106,9.7,13.5,6.3,9.9,1.4, 
20130107,8.9,12.9,6.3,10.4,5.4, 
20130108,11.3,14.4,7.7,10.6,5.9, 
20130109,7.5,8.0,1.5,6.0,6.5, 
20130110,2.4,7.7,1.0,4.2,0.0, 
20130111,3.2,8.2,1.1,3.4,0.0, 
20130112,1.7,8.9,1.0,4.7,0.0, 
20130113,4.6,8.7,1.0,4.5,0.0, 
20130114,0.7,4.0,-1.2,1.9,0.0, 
20130115,-0.4,6.8,-1.5,1.9,0.0, 
20130116,0.6,8.7,1.0,3.6,0.0, 
20130117,2.5,10.2,1.7,5.1,0.0, 
20130118,2.9,10.9,2.5,6.3,0.0, 
20130119,5.1,10.5,3.2,6.1,0.0, 
20130120,3.6,4.7,-1.2,2.4,3.9, 
20130121,0.8,6.6,-1.9,3.2,6.5, 
20130122,3.6,3.9,-1.4,2.5,2.3, 
20130123,-0.9,2.1,-2.0,-0.5,2.5, 
20130124,-0.3,4.3,-1.1,2.5,0.0, 
20130125,0.9,8.5,1.0,4.2,0.0, 
20130126,2.7,10.7,1.0,5.0,0.0, 
20130127,3.8,12.5,2.7,6.7,0.0, 
20130128,3.6,12.0,3.0,7.0,0.0, 
20130129,9.4,16.5,7.6,12.6,9.4, 
20130130,11.0,11.8,-1.1,4.6,12.0, 
20130131,-1.3,7.9,-2.2,3.2,0.0, 
20130201,2.6,7.8,1.0,3.8,0.0, 
20130202,1.8,11.8,1.0,6.0,0.0, 
20130203,4.5,12.6,3.7,7.9,0.0, 
20130204,8.0,11.3,6.5,8.9,7.5, 
20130205,11.0,11.5,4.2,7.5,1.9, 
20130206,4.2,7.2,2.2,4.2,1.0, 
20130207,2.8,11.4,1.7,5.9,0.0, 
20130208,4.4,9.8,1.3,5.5,0.0, 
20130209,1.4,2.3,-2.0,0.8,2.3, 
20130210,-1.3,2.3,-2.9,-1.1,2.3, 
20130211,-2.3,3.3,-3.0,-0.1,4.7, 
20130212,0.3,6.5,-2.5,3.2,6.0, 
20130213,1.0,10.8,-1.6,6.8,0.0, 
20130214,5.0,11.8,3.0,6.7,0.0, 
20130215,3.6,13.7,1.4,6.9,0.0, 
20130216,3.6,14.3,2.4,9.3,1.5, 
20130217,13.2,17.0,6.3,13.0,2.0, 
20130218,8.9,10.1,-1.0,5.7,2.0, 
20130219,0.8,12.5,1.0,8.0,0.0, 
20130220,13.0,13.7,1.5,8.9,3.9, 
20130221,3.7,11.5,-1.0,7.1,4.0, 
20130222,8.2,14.4,5.0,10.0,44.8, 
20130223,5.0,6.1,1.0,3.5,63.5, 
20130224,0.3,9.6,1.0,4.5,0.0, 
20130225,2.4,9.7,1.0,5.6,0.0, 
20130226,4.7,11.4,1.9,6.5,0.0, 
20130227,5.5,11.6,1.0,6.6,0.0, 
20130228,4.0,12.8,2.0,7.4,0.0, 
20130301,5.7,14.1,4.7,8.8,0.0, 
20130302,6.0,6.7,1.4,3.9,0.0, 
20130303,1.0,11.6,1.0,6.7,0.0, 
20130304,5.4,13.3,3.6,7.9,0.0, 
20130305,5.5,13.3,3.8,8.1,0.0, 
20130306,6.5,8.9,1.7,6.0,0.0, 
20130307,3.0,7.6,1.0,4.0,0.0, 
20130308,0.6,6.5,1.0,3.6,1.4, 
20130309,3.7,12.3,3.2,6.7,1.5, 
20130310,6.3,14.5,5.5,9.3,0.0, 
20130311,6.6,15.2,3.2,9.3,0.0, 
20130312,5.4,15.6,3.4,10.0,0.0, 
20130313,9.5,11.6,6.6,8.9,3.2, 
20130314,7.3,13.3,4.0,8.3,3.5, 
