datadate,초기온도(℃),최대온도(℃),최저온도(℃),평균온도(℃),강수량(ml),습도(%)
20130101,0.7,8.7,-2.1,2.8,0.0,83.4 
20130102,1.8,11.0,1.0,5.5,0.0,80.9 
20130103,4.9,8.8,-3.1,3.2,0.0,72.4 
20130104,-2.0,10.0,-2.7,3.6,0.0,69.9 
20130105,-1.6,9.0,-2.5,3.1,0.0,69.8 
20130106,5.7,10.8,1.0,5.6,0.0,65.4 
20130107,-0.1,9.3,-3.6,2.5,0.0,79.2 
20130108,2.0,12.4,1.2,6.7,0.0,66.7 
20130109,5.7,6.4,-1.8,4.0,0.0,69.0 
20130110,-1.1,2.5,-4.6,-1.4,0.0,59.1 
20130111,-4.1,2.2,-11.0,-4.4,0.0,55.0 
20130112,-3.8,2.5,-4.3,-1.8,1.0,70.9 
20130113,-3.0,-1.0,-10.9,-4.9,1.0,60.4 
20130114,-6.0,-4.3,-9.2,-6.5,0.0,39.4 
20130115,-8.5,-1.0,-14.8,-7.5,0.0,47.5 
20130116,-10.6,2.9,-14.2,-7.1,0.0,59.7 
20130117,-8.7,4.0,-11.8,-5.4,0.0,64.2 
20130118,-4.9,4.9,-6.8,-1.4,0.0,73.7 
20130119,-3.5,5.0,-6.1,-1.8,0.0,75.1 
20130120,-2.4,-1.3,-6.6,-2.7,3.4,74.2 
20130121,-6.0,-1.0,-10.6,-5.4,3.7,80.2 
20130122,-3.2,-1.0,-7.9,-5.2,0.0,63.7 
20130123,-8.5,-3.0,-14.2,-8.3,0.0,63.2 
20130124,-12.7,-1.0,-15.9,-9.0,0.0,64.7 
20130125,-11.2,1.0,-15.1,-9.5,0.0,66.4 
20130126,-9.7,4.5,-13.7,-5.3,0.0,67.6 
20130127,3.7,3.9,-6.7,-0.1,3.1,52.0 
20130128,-7.4,6.9,-11.2,-2.9,3.1,57.3 
20130129,1.0,3.7,1.0,2.4,2.6,78.4 
20130130,0.6,-1.0,-9.0,-3.8,3.9,70.6 
20130131,-9.9,-1.0,-12.4,-7.4,0.0,61.8 
20130201,-6.9,1.8,-8.5,-4.4,0.0,55.9 
20130202,-4.8,3.8,-11.1,-3.4,0.0,48.9 
20130203,-0.1,7.0,-4.1,1.1,0.0,66.4 
20130204,-2.8,6.7,-5.9,0.7,0.0,66.8 
20130205,2.4,5.8,1.3,2.5,0.0,72.6 
20130206,1.7,1.9,-4.2,-0.4,0.0,54.8 
20130207,-4.7,4.5,-7.6,-2.3,0.0,61.0 
20130208,-2.1,3.0,-6.9,-2.0,0.0,62.2 
20130209,-1.0,-1.0,-5.2,-3.1,0.0,50.4 
20130210,-5.3,-2.2,-7.1,-4.9,0.0,50.0 
20130211,-6.4,-1.0,-9.8,-5.0,0.0,52.5 
20130212,-3.5,4.6,-9.8,-2.5,0.0,61.0 
20130213,-4.4,5.0,-9.0,-2.0,1.7,76.6 
20130214,0.7,6.4,-4.5,1.3,1.9,60.4 
20130215,-3.9,9.1,-8.1,-0.2,0.0,58.9 
20130216,-2.0,13.3,-6.2,4.2,0.0,64.2 
20130217,8.2,11.2,-2.2,4.1,2.4,64.7 
20130218,-2.4,3.5,-7.9,-2.1,2.5,45.7 
20130219,-4.7,8.8,-7.3,0.6,3.0,67.3 
20130220,4.7,6.7,-4.1,1.8,7.1,65.5 
20130221,-4.6,7.8,-8.9,-1.6,7.7,50.4 
20130222,-1.7,3.9,-1.7,2.5,9.5,78.8 
20130223,1.1,3.2,-2.3,0.8,13.9,58.7 
20130224,-2.6,4.5,-7.6,-0.9,0.0,52.7 
20130225,-1.5,9.2,-5.5,1.8,0.0,58.2 
20130226,-1.4,9.0,-1.9,3.9,0.0,55.9 
20130227,-0.9,10.3,-5.2,2.4,0.0,54.4 
20130228,-2.1,12.8,-5.5,3.5,0.0,50.5 
20130301,1.0,11.6,1.0,7.3,0.0,55.2 
20130302,4.1,6.2,-1.1,3.1,2.4,68.2 
20130303,-2.1,12.0,-5.5,2.6,2.6,56.0 
20130304,-0.5,13.0,-4.1,4.6,0.0,55.8 
20130305,0.6,12.9,-1.7,5.6,0.0,65.6 
20130306,5.7,6.7,-1.2,3.1,0.0,46.6 
20130307,-1.3,2.3,-2.0,-0.8,0.0,50.4 
20130308,-1.6,5.8,-6.8,0.5,0.0,53.2 
20130309,1.3,10.7,-4.2,4.4,0.0,53.4 
20130310,1.8,12.1,-4.2,4.3,0.0,44.7 
20130311,-0.9,16.9,-4.7,5.3,0.0,43.5 
20130312,2.1,16.0,-2.5,7.4,0.0,51.0 
20130313,7.0,13.0,1.0,7.1,0.0,56.9 
20130314,3.4,10.4,-2.5,5.1,0.0,52.7 
20130315,1.9,12.5,-4.1,4.5,0.0,47.9 
20130316,0.9,13.2,-3.6,5.0,0.0,44.8 
20130317,2.9,15.4,-3.6,6.3,0.0,43.9 
20130318,3.4,16.9,1.1,7.6,0.0,36.2 
20130319,3.3,18.6,-1.9,9.0,0.0,41.4 
20130320,3.9,14.7,1.0,9.0,0.0,51.3 
20130321,9.0,11.5,5.1,7.9,0.0,47.0 
20130322,4.7,13.6,-2.0,7.0,0.0,41.2 
20130323,6.1,15.3,1.0,7.9,0.0,38.6 
20130324,1.8,14.7,-1.2,9.0,0.0,50.2 
20130325,5.8,9.7,4.3,7.3,0.0,60.9 
20130326,5.1,11.2,1.9,6.5,0.0,52.3 
20130327,4.9,11.8,1.3,6.7,0.0,62.3 
20130328,0.6,13.5,-2.4,6.4,0.0,62.2 
20130329,7.6,15.9,2.1,9.1,0.0,47.8 
20130330,4.8,18.1,-1.4,10.3,0.0,50.0 
20130331,8.3,13.0,6.5,8.9,2.7,71.2 
20130401,6.8,13.7,4.0,8.7,2.7,67.1 
20130402,3.5,15.7,1.0,9.7,0.0,51.4 
20130403,4.4,20.3,-1.0,11.5,0.0,45.0 
20130404,5.6,23.0,1.0,12.3,0.0,39.3 
20130405,11.7,15.4,9.3,12.3,5.3,62.7 
20130406,14.0,17.2,10.7,13.6,2.8,80.7 
20130407,10.5,24.1,9.6,14.8,2.5,63.2 
20130408,11.6,21.8,6.8,13.5,0.0,64.9 
20130409,11.1,18.1,9.8,13.5,0.0,61.8 
20130410,12.0,20.4,9.2,14.8,0.0,23.9 
20130411,13.7,19.0,7.7,12.6,13.2,56.2 
20130412,11.2,15.9,6.8,12.0,14.7,18.4 
20130413,6.9,21.2,1.2,11.3,0.0,47.1 
20130414,10.2,19.8,6.1,13.3,0.0,52.2 
20130415,11.4,25.3,7.6,16.2,0.0,57.1 
20130416,11.0,27.5,7.7,17.5,0.0,51.5 
20130417,14.7,16.6,11.1,13.2,10.3,74.0 
20130418,9.9,19.7,7.8,12.1,3.3,78.9 
20130419,9.4,18.3,4.8,12.1,1.9,47.1 
20130420,9.2,14.8,7.8,11.0,0.0,58.7 
20130421,6.9,19.2,3.3,11.7,0.0,59.0 
20130422,9.9,20.4,4.6,13.0,0.0,52.4 
20130423,9.7,22.7,3.5,13.4,0.0,44.5 
20130424,7.6,22.6,2.8,13.1,0.0,44.7 
20130425,8.3,22.9,7.0,15.0,0.0,55.1 
20130426,14.3,19.7,11.2,14.9,0.0,41.7 
20130427,10.5,19.0,3.3,12.4,0.0,42.0 
20130428,6.3,22.9,3.4,13.2,0.0,50.3 
20130429,9.1,25.3,4.8,14.9,0.0,51.6 
20130430,9.9,27.6,7.9,17.7,0.0,53.9 
20130501,13.0,27.1,8.9,17.7,0.0,59.6 
20130502,13.2,26.8,8.4,17.8,0.0,49.8 
20130503,12.9,28.5,8.1,18.6,0.0,48.0 
20130504,15.0,26.8,10.4,18.7,0.0,55.3 
20130505,18.0,27.3,15.7,20.5,0.0,54.8 
20130506,16.8,21.6,7.4,15.4,0.0,36.7 
20130507,9.3,23.1,5.6,14.8,0.0,48.7 
20130508,9.1,22.9,5.5,15.2,0.0,54.4 
20130509,14.4,20.6,13.6,15.3,4.1,65.9 
20130510,13.7,19.6,11.9,15.4,2.4,80.1 
20130511,11.9,25.5,11.8,17.2,2.4,73.1 
20130512,15.1,23.6,14.1,18.9,0.0,75.3 
20130513,14.8,23.7,10.9,16.3,1.7,74.9 
20130514,10.1,20.7,6.8,14.0,1.7,56.2 
20130515,10.2,20.6,6.2,14.0,0.0,59.8 
20130516,12.1,22.0,10.9,15.5,0.0,63.9 
20130517,12.5,24.6,8.1,17.3,0.0,54.2 
20130518,13.7,26.6,8.2,18.0,0.0,53.9 
20130519,14.1,23.7,9.4,13.9,0.0,72.1 
20130520,11.9,25.9,9.1,18.4,0.0,46.1 
20130521,14.5,26.5,10.6,18.9,0.0,51.2 
20130522,14.4,27.7,11.0,19.8,0.0,54.3 
20130523,16.3,24.4,12.1,19.2,0.0,61.6 
20130524,17.5,25.2,16.1,19.7,5.0,70.2 
20130525,15.2,25.9,10.5,17.8,5.4,59.0 
20130526,13.4,20.6,11.2,16.1,0.0,42.2 
20130527,11.1,25.0,7.5,16.5,0.0,53.2 
20130528,12.1,29.4,8.6,18.8,0.0,54.2 
20130529,16.9,31.0,13.1,21.8,0.0,60.3 
20130530,17.2,29.2,13.6,21.7,0.0,57.4 
20130531,16.6,28.0,13.2,20.5,0.0,59.2 
20130601,18.5,26.5,17.5,21.3,0.0,65.0 
20130602,16.8,25.0,10.2,18.5,0.0,43.3 
20130603,17.7,24.6,13.9,19.2,0.0,42.6 
20130604,14.9,26.7,9.1,18.8,0.0,46.2 
20130605,17.2,28.3,10.7,20.6,0.0,38.5 
20130606,20.8,21.9,14.8,18.1,2.9,60.0 
20130607,15.7,19.3,15.6,17.2,1.3,87.0 
20130608,15.7,26.3,15.3,19.3,1.1,65.1 
20130609,14.5,28.3,12.3,19.9,0.0,65.9 
20130610,19.1,26.1,16.0,21.4,0.0,56.8 
20130611,15.0,28.8,10.1,20.1,0.0,45.3 
20130612,18.3,26.4,13.2,20.3,0.0,43.6 
20130613,17.7,25.7,14.3,19.4,0.0,59.7 
20130614,15.8,26.7,13.8,20.1,0.0,61.7 
20130615,17.8,29.8,13.4,21.9,0.0,56.5 
20130616,18.3,31.8,15.0,23.0,0.0,57.8 
20130617,18.6,30.4,13.3,22.2,0.0,48.3 
20130618,18.5,31.5,12.5,22.4,0.0,43.0 
20130619,19.0,31.5,13.9,23.0,0.0,52.1 
20130620,18.7,30.6,15.3,23.2,0.0,50.5 
20130621,22.0,30.0,17.5,23.8,0.0,53.1 
20130622,19.1,30.8,15.8,23.0,0.0,61.9 
20130623,19.5,33.6,16.0,24.4,0.0,54.0 
20130624,21.9,29.5,18.3,22.3,0.0,63.9 
20130625,18.7,28.9,17.5,21.8,4.6,78.5 
20130626,21.3,28.9,20.5,23.3,1.2,70.1 
20130627,21.5,29.0,19.1,23.4,1.2,72.3 
20130628,21.4,30.9,20.7,24.4,2.1,70.4 
20130629,22.4,31.3,18.9,24.5,2.1,66.3 
20130630,22.5,31.1,20.9,25.1,0.0,63.5 
20130701,22.8,24.9,20.2,22.7,3.2,80.5 
20130702,22.9,29.6,22.9,25.5,4.5,81.6 
20130703,25.1,27.1,23.2,24.9,4.0,84.7 
20130704,23.2,31.5,22.4,25.4,113.6,79.3 
20130705,24.1,32.6,21.7,26.5,133.8,69.1 
20130706,23.3,32.2,21.4,25.1,0.0,77.7 
20130707,21.9,28.7,21.3,24.7,3.4,82.5 
20130708,24.4,27.5,23.2,24.9,43.7,83.3 
20130709,24.3,31.9,22.4,26.5,8.2,75.6 
20130710,22.6,27.0,22.5,24.5,66.5,86.3 
20130711,24.8,30.8,22.7,25.2,9.2,78.1 
20130712,23.6,31.1,23.1,26.3,7.1,74.2 
20130713,22.7,31.6,20.8,25.5,0.0,74.0 
20130714,23.1,32.3,22.1,26.2,3.2,75.1 
20130715,24.1,27.2,22.4,24.2,27.4,83.1 
20130716,23.3,25.9,22.0,23.6,149.3,88.8 
20130717,23.3,27.4,21.8,24.3,30.5,86.4 
20130718,22.0,29.2,21.6,24.6,2.0,81.1 
20130719,23.7,32.1,22.7,26.1,2.0,74.9 
20130720,23.9,32.3,22.6,27.1,0.0,74.3 
20130721,25.2,33.0,24.1,28.1,0.0,74.3 
20130722,26.4,31.3,25.2,27.8,0.0,75.2 
20130723,26.6,28.4,24.6,26.2,2.7,83.7 
20130724,26.0,29.0,24.6,26.1,39.0,87.8 
20130725,25.1,32.3,24.7,27.3,7.5,74.6 
20130726,24.1,30.4,21.4,25.9,5.1,61.6 
20130727,22.2,31.3,19.4,25.1,0.0,65.1 
20130728,24.4,29.0,23.6,25.7,34.3,79.0 
20130729,24.4,29.1,23.8,25.7,3.5,74.8 
20130730,23.3,31.5,20.9,25.9,1.4,70.2 
20130731,24.5,25.4,21.7,23.4,29.3,87.7 
20130801,22.1,31.7,21.8,25.4,4.5,78.1 
20130802,24.8,33.6,23.0,27.7,2.8,72.7 
20130803,25.6,30.8,23.6,26.9,0.0,64.9 
20130804,24.4,33.9,21.7,27.6,0.0,64.3 
20130805,25.0,35.2,23.8,29.0,0.0,67.4 
20130806,26.4,33.9,25.6,29.1,0.0,66.7 
