datadate,수출중량(kg),수출금액(달러),수입중량(kg),수입금액(달러),무역수지(달러)
201301,17903.0,31457.0,1034470.0,821281.0,-789824.0
201302,20350.0,33070.0,4847497.0,2914801.0,-2881731.0
201303,20959.0,32035.0,6465890.0,3739556.0,-3707521.0
201304,27555.0,33888.0,4381810.0,2537686.0,-2503798.0
201305,28949.0,41437.0,2837700.0,1823596.0,-1782159.0
201306,18624.0,32134.0,23400.0,20124.0,12010.0
201307,1229749.0,1097905.0,0.0,0.0,1097905.0
201308,285202.0,291464.0,0.0,0.0,291464.0
201309,78506.0,94269.0,0.0,0.0,94269.0
201310,5813.0,14815.0,2245250.0,1603401.0,-1588586.0
201311,36795.0,64492.0,1829625.0,1355760.0,-1291268.0
201312,16258.0,33981.0,364935.0,249389.0,-215408.0
201401,17497.0,34289.0,2286450.0,1382975.0,-1348686.0
201402,9390.0,24388.0,4850807.0,2935788.0,-2911400.0
201403,11571.0,27081.0,7456890.0,3740264.0,-3713183.0
201404,13157.0,28036.0,8040529.0,3733621.0,-3705585.0
201405,15926.0,55177.0,47400.0,33636.0,21541.0
201406,30579.0,42313.0,0.0,0.0,42313.0
201407,1114750.0,931759.0,0.0,0.0,931759.0
201408,1297769.0,1233808.0,0.0,0.0,1233808.0
201409,132196.0,204861.0,0.0,0.0,204861.0
201410,65070.0,116796.0,644640.0,518884.0,-402088.0
201411,23412.0,51234.0,870080.0,740536.0,-689302.0
201412,18237.0,39994.0,627410.0,544673.0,-504679.0
201501,23877.0,64005.0,2279265.0,2104996.0,-2040991.0
201502,37188.0,65937.0,3806500.0,2481523.0,-2415586.0
201503,19542.0,50446.0,4450130.0,2977763.0,-2927317.0
201504,17630.0,40000.0,6103480.0,3867583.0,-3827583.0
201505,14006.0,30789.0,3868920.0,2553062.0,-2522273.0
201506,18526.0,35146.0,231600.0,181614.0,-146468.0
201507,1615651.0,1218999.0,0.0,0.0,1218999.0
201508,229177.0,242118.0,0.0,0.0,242118.0
201509,60635.0,82519.0,0.0,0.0,82519.0
201510,41605.0,71241.0,252000.0,175680.0,-104439.0
201511,12596.0,32243.0,2110850.0,1454398.0,-1422155.0
201512,18357.0,49254.0,1169475.0,897072.0,-847818.0
201601,12318.0,38214.0,1463690.0,1024875.0,-986661.0
201602,27960.0,77223.0,4746585.0,2794168.0,-2716945.0
201603,14716.0,53559.0,5883870.0,3130076.0,-3076517.0
201604,19821.0,58940.0,7812740.0,4080632.0,-4021692.0
201605,20854.0,53221.0,2046870.0,1004703.0,-951482.0
201606,24438.0,63516.0,0.0,0.0,63516.0
