datadate,수출중량(kg),수출금액(달러),수입중량(kg),수입금액(달러),무역수지(달러)
201301,0.0,0.0,921037.0,2116603.0,-2116603.0
201302,0.0,0.0,988944.0,2160310.0,-2160310.0
201303,7601.0,27949.0,1516920.0,3463107.0,-3435158.0
201304,0.0,0.0,1090029.0,2574524.0,-2574524.0
201305,0.0,0.0,1198709.0,2920595.0,-2920595.0
201306,0.0,0.0,1550959.0,4234742.0,-4234742.0
201307,0.0,0.0,2382609.0,6357385.0,-6357385.0
201308,0.0,0.0,1610335.0,4111196.0,-4111196.0
201309,0.0,51.0,948363.0,2160537.0,-2160486.0
201310,0.0,0.0,1245342.0,3078188.0,-3078188.0
201311,0.0,0.0,1156367.0,3086581.0,-3086581.0
201312,0.0,2.0,1018011.0,2704907.0,-2704905.0
201401,0.0,0.0,1520265.0,3696112.0,-3696112.0
201402,0.0,0.0,1586187.0,3854270.0,-3854270.0
201403,0.0,0.0,2392334.0,5989436.0,-5989436.0
201404,0.0,0.0,928267.0,2360473.0,-2360473.0
201405,0.0,9.0,1149902.0,2721151.0,-2721142.0
201406,0.0,0.0,1229094.0,3037099.0,-3037099.0
201407,0.0,0.0,1631952.0,3967151.0,-3967151.0
201408,0.0,0.0,1892573.0,4434668.0,-4434668.0
201409,0.0,0.0,933172.0,2219502.0,-2219502.0
201410,0.0,0.0,1682204.0,4883372.0,-4883372.0
201411,0.0,0.0,1174535.0,3140499.0,-3140499.0
201412,0.0,0.0,1463459.0,3670742.0,-3670742.0
201501,1195.0,7175.0,1736971.0,4018558.0,-4011383.0
201502,520.0,2553.0,2157054.0,4797926.0,-4795373.0
201503,0.0,0.0,1565892.0,3362924.0,-3362924.0
201504,67.0,170.0,1538120.0,3216480.0,-3216310.0
201505,51.0,2261.0,1591654.0,3249363.0,-3247102.0
201506,17.0,753.0,1164255.0,2414454.0,-2413701.0
201507,0.0,0.0,2952954.0,6219506.0,-6219506.0
201508,0.0,0.0,1394638.0,2816689.0,-2816689.0
201509,0.0,0.0,835881.0,1701583.0,-1701583.0
201510,0.0,0.0,1446662.0,3303584.0,-3303584.0
201511,0.0,0.0,996332.0,2408042.0,-2408042.0
201512,17.0,62.0,1114199.0,2355914.0,-2355852.0
201601,0.0,0.0,1452510.0,2904803.0,-2904803.0
201602,0.0,0.0,1815182.0,3334978.0,-3334978.0
201603,100.0,1054.0,1940997.0,3596898.0,-3595844.0
201604,0.0,0.0,1250944.0,2289590.0,-2289590.0
201605,0.0,0.0,1430083.0,2469461.0,-2469461.0
201606,117.0,299.0,2201640.0,4052106.0,-4051807.0
201607,0.0,0.0,2588151.0,4969770.0,-4969770.0
201608,0.0,0.0,1505762.0,2745174.0,-2745174.0
201609,3294.0,14024.0,1531832.0,2722029.0,-2708005.0
201610,0.0,0.0,1492484.0,2678161.0,-2678161.0
201611,10310.0,32327.0,1300300.0,3144449.0,-3112122.0
201612,0.0,0.0,709010.0,1655415.0,-1655415.0
201301,0.0,0.0,500.0,2479.0,-2479.0
201302,14.0,64.0,1660.0,10375.0,-10311.0
201303,509.0,2436.0,0.0,0.0,2436.0
201306,0.0,0.0,2050.0,10374.0,-10374.0
201308,0.0,0.0,1500.0,6849.0,-6849.0
201309,0.0,0.0,0.0,11.0,-11.0
201401,0.0,0.0,108.0,5040.0,-5040.0
201404,0.0,0.0,520.0,2451.0,-2451.0
201504,5.0,13.0,0.0,0.0,13.0
201512,0.0,0.0,960.0,2880.0,-2880.0
