datadate,단가(원),거래량,거래대금(원),경매건수,도매시장코드,도매법인코드,산지코드 ,해당일자_전체평균가격(원)
20130101,,,,,,,,
20130102,6143.85,2.0,12312.3,1.0,371501.0,37150102.0,740.0,20712.24090909091
20130102,4304.3,10.0,42957.0,1.0,350301.0,35030101.0,570.0,20712.24090909091
20130102,39960.0,10.0,400400.0,1.0,240001.0,24000103.0,519.0,20712.24090909091
20130103,1898.1,48.0,91108.8,1.0,230001.0,23000102.0,800.0,3401.8636783733828
20130103,2077.92,92.0,190809.0,2.0,230003.0,23000303.0,800.0,3401.8636783733828
20130103,3996.0,10.0,39960.0,1.0,230001.0,23000101.0,323.0,3401.8636783733828
20130103,2077.92,84.0,174125.7,1.0,230001.0,23000103.0,800.0,3401.8636783733828
20130103,7707.7,100.0,769230.0,3.0,230003.0,23000302.0,323.0,3401.8636783733828
20130103,2072.07,88.0,182182.0,2.0,230003.0,23000302.0,800.0,3401.8636783733828
20130103,1878.12,40.0,74925.0,1.0,230001.0,23000101.0,800.0,3401.8636783733828
20130103,1878.12,40.0,75075.0,2.0,230001.0,23000104.0,800.0,3401.8636783733828
20130103,7927.92,26.0,206206.0,2.0,230001.0,23000101.0,323.0,3401.8636783733828
20130103,15734.25,1.0,15765.75,1.0,340101.0,34010101.0,135.0,3401.8636783733828
20130103,1751.75,12.0,21021.0,1.0,230003.0,23000302.0,471.0,3401.8636783733828
20130104,8488.48,120.0,1019018.0,3.0,230001.0,23000101.0,323.0,6553.903225806452
20130104,6173.82,17.0,105105.0,1.0,240001.0,24000103.0,529.0,6553.903225806452
20130104,1298.7,50.0,64935.0,3.0,320101.0,32010101.0,680.0,6553.903225806452
20130104,8008.0,70.0,560560.0,2.0,230003.0,23000302.0,323.0,6553.903225806452
20130104,7007.0,10.0,69930.0,1.0,230001.0,23000101.0,323.0,6553.903225806452
20130104,749.25,12.0,8991.0,1.0,230003.0,23000302.0,800.0,6553.903225806452
20130105,3556.44,540.0,1921077.0,4.0,371501.0,37150102.0,742.0,4299.079156528791
20130105,8508.5,10.0,84915.0,1.0,230001.0,23000104.0,343.0,4299.079156528791
20130105,1748.25,16.0,27972.0,1.0,230003.0,23000302.0,471.0,4299.079156528791
20130105,1801.8,40.0,71928.0,1.0,230001.0,23000101.0,800.0,4299.079156528791
20130105,2752.75,16.0,44044.0,1.0,230001.0,23000101.0,407.0,4299.079156528791
20130105,2262.26,92.0,208208.0,2.0,230003.0,23000302.0,800.0,4299.079156528791
20130105,1998.0,40.0,79920.0,2.0,230001.0,23000104.0,800.0,4299.079156528791
20130105,7897.89,90.0,710710.0,3.0,230003.0,23000302.0,323.0,4299.079156528791
20130105,5294.7,10.0,53053.0,1.0,230001.0,23000101.0,323.0,4299.079156528791
20130105,1948.05,44.0,85885.8,1.0,230001.0,23000102.0,800.0,4299.079156528791
20130105,3976.02,4.0,15915.9,1.0,250003.0,25000301.0,800.0,4299.079156528791
20130105,700.7,25.0,17517.5,2.0,320101.0,32010101.0,680.0,4299.079156528791
20130105,40959.0,10.0,409590.0,1.0,240001.0,24000103.0,519.0,4299.079156528791
20130105,8958.95,130.0,1162836.0,3.0,230001.0,23000101.0,323.0,4299.079156528791
20130105,2247.75,80.0,179820.0,1.0,230003.0,23000303.0,800.0,4299.079156528791
20130105,2047.95,80.0,163836.0,1.0,230001.0,23000103.0,800.0,4299.079156528791
20130105,10589.4,6.0,63536.4,1.0,240001.0,24000103.0,529.0,4299.079156528791
20130106,1878.12,40.0,75075.0,2.0,230001.0,23000104.0,800.0,4669.031060606061
20130106,4995.0,8.0,40040.0,1.0,240001.0,24000102.0,517.0,4669.031060606061
20130106,3603.6,16.0,57657.6,1.0,371501.0,37150102.0,769.0,4669.031060606061
20130106,2082.08,60.0,124624.5,1.0,230001.0,23000103.0,800.0,4669.031060606061
20130106,8871.12,50.0,443556.0,2.0,230001.0,23000101.0,323.0,4669.031060606061
20130106,39960.0,10.0,400400.0,1.0,240001.0,24000103.0,519.0,4669.031060606061
20130106,6506.5,6.0,38961.0,1.0,240001.0,24000103.0,529.0,4669.031060606061
20130106,2247.75,60.0,134865.0,1.0,230003.0,23000303.0,800.0,4669.031060606061
20130106,1868.13,55.0,103103.0,2.0,320101.0,32010101.0,680.0,4669.031060606061
20130106,9309.3,31.0,288011.7,1.0,371501.0,37150102.0,769.0,4669.031060606061
20130106,2382.38,60.0,142642.5,1.0,230003.0,23000302.0,800.0,4669.031060606061
20130107,8208.2,10.0,81918.0,1.0,230003.0,23000302.0,343.0,5549.780092592592
20130107,8431.56,150.0,1267266.0,3.0,230001.0,23000101.0,323.0,5549.780092592592
20130107,5345.34,50.0,266733.0,2.0,230001.0,23000101.0,323.0,5549.780092592592
20130107,2997.0,24.0,72072.0,1.0,220001.0,22000104.0,906.0,5549.780092592592
20130107,3406.59,20.0,68181.75,1.0,310401.0,31040101.0,901.0,5549.780092592592
20130107,599.4,70.0,41958.0,2.0,320101.0,32010101.0,680.0,5549.780092592592
20130108,,,,,,,,
20130109,1818.18,44.0,80380.3,1.0,230001.0,23000101.0,800.0,3552.5845146379047
20130109,3406.59,20.0,68181.75,1.0,310401.0,31040101.0,901.0,3552.5845146379047
20130109,8088.08,160.0,1290708.0,2.0,230001.0,23000101.0,323.0,3552.5845146379047
20130109,1951.95,48.0,93506.4,1.0,230001.0,23000102.0,800.0,3552.5845146379047
20130109,640.64,65.0,41458.5,2.0,320101.0,32010101.0,680.0,3552.5845146379047
20130109,7992.0,6.0,47952.0,1.0,230001.0,23000102.0,343.0,3552.5845146379047
20130109,2002.0,48.0,96096.0,3.0,230001.0,23000104.0,800.0,3552.5845146379047
20130109,2077.92,80.0,166166.0,1.0,230001.0,23000103.0,800.0,3552.5845146379047
20130109,2257.74,92.0,207792.0,3.0,230003.0,23000302.0,800.0,3552.5845146379047
20130109,2252.25,80.0,179820.0,1.0,230003.0,23000303.0,800.0,3552.5845146379047
20130109,5594.4,6.0,33566.4,1.0,240001.0,24000103.0,529.0,3552.5845146379047
20130110,3413.41,20.0,68181.75,1.0,310401.0,31040101.0,901.0,7207.4964689265535
20130110,4004.0,4.0,15984.0,1.0,210009.0,21000901.0,950.0,7207.4964689265535
20130110,7792.2,100.0,779220.0,1.0,230003.0,23000302.0,323.0,7207.4964689265535
20130110,5494.5,100.0,549450.0,1.0,250003.0,25000302.0,800.0,7207.4964689265535
20130110,7992.0,60.0,480480.0,1.0,230001.0,23000101.0,323.0,7207.4964689265535
20130110,6506.5,40.0,259740.0,1.0,371501.0,37150102.0,730.0,7207.4964689265535
20130110,900.9,20.0,18018.0,2.0,230003.0,23000302.0,800.0,7207.4964689265535
20130110,38038.0,10.0,380380.0,1.0,240001.0,24000103.0,519.0,7207.4964689265535
20130111,2867.13,15.0,43043.0,2.0,320101.0,32010101.0,680.0,2944.1874741200827
20130111,9990.0,30.0,300300.0,1.0,320101.0,32010101.0,200.0,2944.1874741200827
20130111,1851.85,44.0,81318.6,1.0,230001.0,23000101.0,800.0,2944.1874741200827
20130111,2002.0,52.0,104104.0,2.0,230001.0,23000104.0,800.0,2944.1874741200827
20130111,8008.0,20.0,160160.0,1.0,230001.0,23000101.0,323.0,2944.1874741200827
20130111,2247.75,80.0,180180.0,1.0,230003.0,23000302.0,800.0,2944.1874741200827
20130111,3996.0,10.0,40040.0,1.0,230001.0,23000102.0,343.0,2944.1874741200827
20130111,2252.25,80.0,180180.0,1.0,230003.0,23000303.0,800.0,2944.1874741200827
20130111,1901.9,52.0,98701.2,1.0,230001.0,23000102.0,800.0,2944.1874741200827
20130111,2077.92,80.0,165834.0,1.0,230001.0,23000103.0,800.0,2944.1874741200827
20130111,3406.59,20.0,68181.75,1.0,310401.0,31040101.0,901.0,2944.1874741200827
20130112,4804.8,10.0,47952.0,1.0,350301.0,35030101.0,570.0,2481.9505235602096
20130112,7692.3,16.0,123076.8,1.0,230001.0,23000101.0,323.0,2481.9505235602096
20130112,2207.79,80.0,177177.0,2.0,230003.0,23000302.0,800.0,2481.9505235602096
20130112,2002.0,52.0,104104.0,2.0,230001.0,23000104.0,800.0,2481.9505235602096
20130112,850.85,30.0,25525.5,3.0,320101.0,32010101.0,680.0,2481.9505235602096
20130112,2252.25,72.0,162162.0,1.0,230003.0,23000303.0,800.0,2481.9505235602096
20130112,1981.98,72.0,142942.8,2.0,230001.0,23000103.0,800.0,2481.9505235602096
20130112,3296.7,50.0,165165.0,1.0,230001.0,23000101.0,800.0,2481.9505235602096
20130113,599.4,20.0,12012.0,1.0,320101.0,32010101.0,680.0,3196.9459731543625
20130113,1878.12,60.0,112612.5,2.0,230001.0,23000104.0,800.0,3196.9459731543625
20130113,2087.91,88.0,184184.0,2.0,230003.0,23000303.0,800.0,3196.9459731543625
20130113,3413.41,20.0,68318.25,1.0,310401.0,31040101.0,901.0,3196.9459731543625
20130113,4004.0,10.0,39960.0,1.0,350301.0,35030101.0,570.0,3196.9459731543625
20130113,2077.92,72.0,149250.6,1.0,230001.0,23000103.0,800.0,3196.9459731543625
20130113,4104.1,2.0,8191.8,1.0,240004.0,24000403.0,906.0,3196.9459731543625
20130113,7867.86,50.0,393393.0,2.0,230001.0,23000102.0,343.0,3196.9459731543625
20130113,2262.26,96.0,216783.0,3.0,230003.0,23000302.0,800.0,3196.9459731543625
20130113,8228.22,40.0,328671.0,2.0,230003.0,23000302.0,323.0,3196.9459731543625
20130113,3996.0,140.0,559440.0,2.0,371501.0,37150101.0,730.0,3196.9459731543625
20130113,2042.04,92.0,187687.5,2.0,230001.0,23000101.0,800.0,3196.9459731543625
20130113,6993.0,3.0,21021.0,1.0,230001.0,23000104.0,225.0,3196.9459731543625
20130113,1918.08,52.0,100200.1,1.0,230001.0,23000102.0,800.0,3196.9459731543625
20130114,699.3,50.0,35035.0,3.0,320101.0,32010101.0,680.0,4631.9
20130114,7877.87,30.0,236236.0,2.0,230003.0,23000302.0,323.0,4631.9
20130114,7592.4,20.0,152152.0,1.0,350101.0,35010102.0,561.0,4631.9
20130114,8591.4,10.0,86086.0,1.0,230001.0,23000104.0,343.0,4631.9
20130115,,,,,,,,
20130116,2117.88,72.0,152847.0,1.0,230003.0,23000303.0,800.0,2916.061155555556
20130116,2817.18,244.0,689989.3,2.0,240001.0,24000103.0,800.0,2916.061155555556
20130116,1948.05,52.0,101298.6,1.0,230001.0,23000102.0,800.0,2916.061155555556
20130116,3513.51,340.0,1191007.8,8.0,240004.0,24000403.0,800.0,2916.061155555556
20130116,7992.0,30.0,239760.0,1.0,230003.0,23000302.0,323.0,2916.061155555556
20130116,2077.92,72.0,149549.4,1.0,230001.0,23000103.0,800.0,2916.061155555556
20130116,7007.0,9.0,62937.0,1.0,230003.0,23000302.0,325.0,2916.061155555556
20130116,3253.25,80.0,260260.0,1.0,380303.0,38030302.0,630.0,2916.061155555556
20130116,2232.23,88.0,195804.0,2.0,230003.0,23000302.0,800.0,2916.061155555556
20130116,1898.1,52.0,98701.2,1.0,230001.0,23000101.0,800.0,2916.061155555556
20130116,880.88,30.0,26526.5,3.0,320101.0,32010101.0,680.0,2916.061155555556
20130116,2002.0,56.0,111888.0,3.0,230001.0,23000104.0,800.0,2916.061155555556
20130117,2117.88,48.0,102102.0,1.0,230003.0,23000303.0,800.0,2313.3643410852715
20130117,1881.88,40.0,75075.0,1.0,230001.0,23000101.0,800.0,2313.3643410852715
20130117,7492.5,10.0,75075.0,1.0,230003.0,23000302.0,343.0,2313.3643410852715
20130117,5994.0,1.0,5994.0,1.0,230001.0,23000104.0,343.0,2313.3643410852715
20130117,8891.1,10.0,89089.0,1.0,230001.0,23000104.0,343.0,2313.3643410852715
20130117,1881.88,40.0,74925.0,1.0,230001.0,23000104.0,800.0,2313.3643410852715
20130117,5005.0,12.0,59940.0,1.0,230003.0,23000302.0,325.0,2313.3643410852715
20130117,1998.0,48.0,96096.0,1.0,230001.0,23000103.0,800.0,2313.3643410852715
20130117,1911.91,44.0,84084.0,2.0,230001.0,23000102.0,800.0,2313.3643410852715
20130117,2027.97,84.0,170329.5,4.0,230003.0,23000302.0,800.0,2313.3643410852715
20130117,1251.25,50.0,62562.5,3.0,320101.0,32010101.0,680.0,2313.3643410852715
20130118,850.85,30.0,25474.5,3.0,320101.0,32010101.0,680.0,3045.060344827586
20130118,750.75,8.0,5994.0,1.0,230003.0,23000302.0,800.0,3045.060344827586
20130118,7242.75,20.0,145145.0,2.0,230001.0,23000102.0,343.0,3045.060344827586
20130119,3406.59,16.0,54545.4,1.0,310401.0,31040101.0,901.0,3214.2909810126584
20130119,8608.6,30.0,258258.0,1.0,230001.0,23000101.0,323.0,3214.2909810126584
20130119,2122.12,48.0,102102.0,1.0,230003.0,23000303.0,800.0,3214.2909810126584
20130119,2557.44,52.0,133032.9,2.0,240001.0,24000103.0,500.0,3214.2909810126584
20130119,1881.88,40.0,75075.0,1.0,230001.0,23000101.0,800.0,3214.2909810126584
20130119,1998.0,48.0,96096.0,1.0,230001.0,23000103.0,800.0,3214.2909810126584
20130119,3246.75,80.0,259740.0,4.0,380303.0,38030302.0,630.0,3214.2909810126584
20130119,1951.95,48.0,93693.6,1.0,230001.0,23000102.0,800.0,3214.2909810126584
20130119,7647.64,70.0,534465.0,3.0,230003.0,23000302.0,323.0,3214.2909810126584
20130119,6993.0,20.0,140140.0,1.0,230003.0,23000302.0,343.0,3214.2909810126584
20130119,1931.93,100.0,193193.0,4.0,230003.0,23000302.0,800.0,3214.2909810126584
20130119,1138.86,80.0,91091.0,3.0,230001.0,23000104.0,800.0,3214.2909810126584
20130120,7492.5,200.0,1500499.0,2.0,360301.0,36030102.0,540.0,4387.582380216383
20130120,1998.0,52.0,103896.0,2.0,230001.0,23000104.0,800.0,4387.582380216383
20130120,2122.12,60.0,127627.5,1.0,230003.0,23000303.0,800.0,4387.582380216383
20130120,600.6,40.0,24024.0,1.0,320101.0,32010101.0,680.0,4387.582380216383
20130120,1878.12,60.0,112387.5,1.0,230001.0,23000103.0,800.0,4387.582380216383
20130120,1851.85,56.0,103496.4,1.0,230001.0,23000101.0,800.0,4387.582380216383
20130120,2002.0,88.0,175824.0,2.0,230003.0,23000302.0,800.0,4387.582380216383
20130120,1951.95,52.0,101501.4,1.0,230001.0,23000102.0,800.0,4387.582380216383
20130120,36036.0,15.0,539460.0,1.0,240001.0,24000103.0,519.0,4387.582380216383
20130120,2077.92,24.0,50050.0,2.0,240001.0,24000103.0,500.0,4387.582380216383
20130121,1631.63,75.0,122377.5,4.0,320101.0,32010101.0,680.0,1631.7
20130122,,,,,,,,
20130123,1798.2,52.0,93506.4,1.0,230001.0,23000101.0,800.0,2700.753961885657
20130123,4995.0,9.0,44955.0,1.0,230003.0,23000302.0,325.0,2700.753961885657
20130123,3503.5,280.0,979020.0,5.0,240004.0,24000403.0,800.0,2700.753961885657
20130123,1498.5,56.0,83916.0,1.0,230001.0,23000103.0,800.0,2700.753961885657
20130123,2002.0,60.0,119880.0,3.0,230001.0,23000104.0,800.0,2700.753961885657
20130123,3283.28,212.0,694994.3,1.0,240001.0,24000103.0,800.0,2700.753961885657
20130123,2122.12,64.0,135864.0,1.0,230003.0,23000303.0,800.0,2700.753961885657
20130123,1881.88,56.0,105105.0,1.0,230001.0,23000102.0,800.0,2700.753961885657
20130123,2497.5,80.0,200200.0,4.0,380303.0,38030302.0,630.0,2700.753961885657
20130123,599.4,20.0,11988.0,1.0,320101.0,32010101.0,680.0,2700.753961885657
20130123,2057.94,108.0,223223.0,3.0,230003.0,23000302.0,800.0,2700.753961885657
20130124,9160.83,27.0,247747.5,1.0,371501.0,37150102.0,740.0,1101.2708960843374
