datadate,수출중량(kg),수출금액(달러),수입중량(kg),수입금액(달러),무역수지(달러)
201301,227.0,3017.0,64590.0,89127.0,-86110.0
201302,343.0,3093.0,29630.0,50245.0,-47152.0
201303,698.0,9257.0,9201.0,11451.0,-2194.0
201304,406.0,4984.0,25990.0,51468.0,-46484.0
201305,664.0,7758.0,19700.0,31474.0,-23716.0
201306,312.0,2646.0,9200.0,11446.0,-8800.0
201307,16.0,367.0,7600.0,7989.0,-7622.0
201308,196.0,3494.0,18400.0,22892.0,-19398.0
201309,102.0,2693.0,30240.0,42917.0,-40224.0
201310,69.0,2122.0,14150.0,26356.0,-24234.0
201311,257.0,1687.0,50910.0,72815.0,-71128.0
201312,426.0,4971.0,23570.0,38583.0,-33612.0
201401,262.0,3121.0,52270.0,83884.0,-80763.0
201402,67.0,1589.0,25800.0,30692.0,-29103.0
201403,103.0,1101.0,2630.0,3365.0,-2264.0
201404,581.0,5680.0,0.0,0.0,5680.0
201405,809.0,8801.0,12340.0,13018.0,-4217.0
201406,262.0,2581.0,9830.0,26781.0,-24200.0
201407,241.0,4636.0,12790.0,16078.0,-11442.0
201408,337.0,6268.0,0.0,0.0,6268.0
201409,20.0,491.0,0.0,0.0,491.0
201410,365.0,6354.0,30420.0,44494.0,-38140.0
201411,521.0,6158.0,6000.0,7446.0,-1288.0
201412,754.0,11707.0,77300.0,128566.0,-116859.0
201501,39.0,1151.0,26560.0,42428.0,-41277.0
201502,395.0,2904.0,7950.0,8030.0,-5126.0
201503,617.0,8648.0,15330.0,18582.0,-9934.0
201504,506.0,5140.0,8500.0,10700.0,-5560.0
201505,278.0,2263.0,21440.0,36043.0,-33780.0
201506,5375.0,6059.0,13550.0,15254.0,-9195.0
201507,222.0,2864.0,9110.0,11235.0,-8371.0
201508,478.0,5911.0,0.0,0.0,5911.0
201509,704.0,10287.0,0.0,0.0,10287.0
201510,415.0,7948.0,3000.0,3442.0,4506.0
201511,1841.0,22452.0,5000.0,5972.0,16480.0
201512,289.0,7788.0,59151.0,83306.0,-75518.0
201601,139.0,4640.0,47255.0,69884.0,-65244.0
201602,304.0,5730.0,22000.0,37377.0,-31647.0
201603,483.0,12558.0,0.0,0.0,12558.0
201604,895.0,10822.0,4390.0,5588.0,5234.0
201605,542.0,9758.0,17920.0,22730.0,-12972.0
201606,430.0,3946.0,1.0,46.0,3900.0
201607,149.0,3327.0,30170.0,43913.0,-40586.0
201608,494.0,6793.0,4000.0,7200.0,-407.0
201609,690.0,10289.0,13280.0,17589.0,-7300.0
201610,393.0,8789.0,8670.0,10469.0,-1680.0
201611,534.0,7921.0,0.0,0.0,7921.0
201612,630.0,15394.0,14301.0,28850.0,-13456.0
