datadate,초기온도(℃),최대온도(℃),최저온도(℃),평균온도(℃),강수량(ml),습도(%)
20130101,-1.3,10.5,-2.8,2.2,0.0,88.2
20130102,-1.4,10.7,-2.3,3.2,0.0,93.0
20130103,-1.8,9.2,-4.8,0.4,0.0,89.6
20130104,-2.4,9.8,-3.3,2.1,0.0,90.1
20130105,-2.1,9.4,-2.7,3.5,0.0,75.2
20130106,6.5,12.4,1.0,6.8,0.0,69.4
20130107,2.1,10.1,-3.1,3.9,0.0,79.7
20130108,5.4,13.4,5.2,7.9,0.0,65.6
20130109,6.2,8.7,-3.3,4.8,0.0,69.0
20130110,-3.9,5.3,-5.3,-0.9,0.0,74.9
20130111,-4.2,1.4,-9.1,-4.8,0.0,75.3
20130112,-2.7,8.0,-5.5,-0.2,0.0,83.8
20130113,-5.9,2.7,-8.2,-4.6,0.0,81.6
20130114,-5.4,-1.0,-7.7,-4.4,0.0,54.1
20130115,-8.4,1.3,-12.5,-7.9,0.0,66.3
20130116,-8.9,4.9,-11.5,-5.5,0.0,70.3
20130117,-7.8,4.5,-9.9,-4.2,0.0,70.6
20130118,-5.6,5.2,-6.3,-1.3,0.0,75.9
20130119,-4.8,7.5,-6.9,-1.2,0.0,73.7
20130120,-2.2,-1.0,-10.9,-3.3,5.2,76.9
20130121,-10.8,1.7,-11.9,-6.0,3.5,86.6
20130122,-0.8,-1.0,-9.0,-3.6,3.5,70.9
20130123,-9.2,-1.0,-13.4,-7.6,0.0,71.0
20130124,-11.5,2.8,-14.0,-7.4,0.0,74.2
20130125,-9.6,2.8,-13.2,-6.5,0.0,76.8
20130126,-9.1,5.6,-11.5,-4.1,0.0,78.0
20130127,1.3,5.6,-5.2,1.8,1.0,61.6
20130128,-5.2,8.3,-7.6,-0.9,1.0,58.5
20130129,0.8,5.9,1.0,3.1,2.1,84.5
20130130,1.1,2.0,-7.4,-1.8,6.0,68.7
20130131,-7.7,3.1,-9.3,-5.0,0.0,65.1
20130201,-3.9,5.4,-6.6,-2.3,0.0,59.3
20130202,-7.2,5.2,-9.1,-3.4,0.0,69.8
20130203,-3.0,8.0,-6.2,-0.1,0.0,79.4
20130204,-2.9,8.4,-4.1,1.9,0.0,74.4
20130205,3.1,5.0,-1.5,3.4,0.0,82.3
20130206,0.9,5.3,-4.6,0.3,0.0,63.3
20130207,-5.1,6.4,-5.7,-1.5,0.0,69.9
20130208,-3.8,5.0,-4.4,-0.5,0.0,69.2
20130209,-0.8,1.9,-5.5,-2.9,0.0,60.2
20130210,-6.7,-1.0,-7.2,-4.2,0.0,57.4
20130211,-5.5,2.5,-8.7,-3.2,0.0,63.2
20130212,-1.9,6.2,-7.2,-0.8,0.0,68.0
20130213,-5.4,6.6,-8.0,-1.3,0.0,81.3
20130214,-1.8,8.6,-6.4,0.3,0.0,69.6
20130215,-5.0,10.4,-8.3,-0.4,0.0,69.9
20130216,-3.4,14.6,-6.7,4.5,0.0,76.9
20130217,10.9,11.4,-4.4,5.6,1.4,70.5
20130218,-4.9,6.7,-8.7,-2.2,1.5,63.2
20130219,-5.5,10.5,-7.8,0.7,1.6,74.1
20130220,5.5,9.8,-3.3,3.3,5.6,70.7
20130221,-4.0,8.5,-8.0,-1.2,6.0,60.0
20130222,-2.2,4.1,-2.4,2.3,11.3,85.9
20130223,2.0,5.8,-3.5,0.9,16.0,68.5
20130224,-4.2,6.9,-7.8,-1.5,0.0,69.8
20130225,-2.0,8.6,-5.4,1.3,0.0,73.1
20130226,-1.0,10.8,-4.2,2.4,0.0,73.1
20130227,-1.9,11.5,-4.8,2.3,0.0,67.4
20130228,-2.4,13.2,-5.2,2.7,0.0,66.8
20130301,-0.7,13.0,-1.9,4.8,1.4,66.6
20130302,4.1,6.6,-4.1,2.8,3.8,74.3
20130303,-4.1,11.7,-6.0,1.4,4.0,68.8
20130304,-2.4,13.5,-3.3,3.7,0.0,59.9
20130305,-2.0,13.8,-3.5,3.8,0.0,72.0
20130306,5.9,7.4,-3.6,3.0,0.0,51.7
20130307,-4.5,3.7,-5.7,-1.3,2.5,67.0
20130308,-1.3,6.8,-6.5,0.5,2.5,73.9
20130309,-1.5,11.1,-5.4,2.6,0.0,75.4
20130310,0.2,13.3,-5.4,3.6,0.0,67.0
20130311,-2.2,17.3,-5.8,4.1,0.0,56.8
20130312,0.3,17.2,-3.9,6.3,0.0,55.7
20130313,3.4,15.0,-2.2,7.7,0.0,56.3
20130314,2.6,13.3,-3.9,5.3,0.0,57.5
20130315,-1.9,12.7,-5.3,3.3,0.0,61.2
20130316,-1.9,12.7,-4.6,3.3,0.0,64.8
20130317,-2.6,16.2,-5.4,4.3,0.0,63.2
20130318,0.8,18.4,-1.0,10.4,0.0,51.7
20130319,0.9,19.9,-2.9,8.0,0.0,50.9
20130320,3.1,12.6,-1.2,8.2,0.0,74.8
20130321,6.6,13.1,1.0,7.5,0.0,61.2
20130322,-1.2,14.0,-4.0,4.6,0.0,65.0
20130323,4.3,16.2,1.0,7.6,0.0,58.2
20130324,-0.2,14.8,-1.8,7.1,0.0,63.5
20130325,5.0,12.3,3.6,7.4,0.0,64.1
20130326,5.3,12.8,-1.0,6.5,0.0,61.0
20130327,0.7,11.8,1.0,6.9,0.0,76.2
20130328,1.1,14.9,1.0,7.7,0.0,67.3
20130329,5.1,17.6,2.6,8.9,0.0,68.4
20130330,2.8,20.2,-1.6,11.7,0.0,54.0
20130331,9.6,15.3,5.9,9.9,1.0,71.0
20130401,4.8,15.3,2.4,8.2,0.0,74.0
20130402,2.0,16.8,-2.3,7.5,0.0,67.4
20130403,1.3,19.6,1.0,9.2,0.0,67.8
20130404,3.2,23.3,1.0,12.0,0.0,56.6
20130405,9.1,15.0,7.0,11.0,9.7,85.7
20130406,14.5,16.4,6.4,12.2,12.9,92.4
20130407,8.2,23.9,7.2,13.2,14.0,78.6
20130408,8.6,21.2,6.0,11.9,0.0,83.5
20130409,8.9,23.7,8.8,13.8,0.0,72.1
20130410,12.7,23.3,9.6,15.8,0.0,36.6
20130411,14.7,17.4,5.9,11.9,9.8,72.0
20130412,5.1,19.3,2.9,10.6,11.0,44.9
20130413,6.3,17.8,1.8,9.6,0.0,67.4
20130414,6.3,20.3,4.9,13.0,0.0,63.4
20130415,10.3,24.0,7.5,15.6,0.0,70.6
20130416,10.8,29.9,10.0,16.9,0.0,70.1
20130417,11.4,16.4,9.4,12.4,19.0,91.8
20130418,9.6,20.2,8.3,12.5,24.0,83.4
20130419,9.7,19.1,3.8,11.6,0.0,62.2
20130420,8.6,14.0,6.4,9.8,3.4,80.1
20130421,6.2,20.5,3.7,11.2,3.5,75.7
20130422,6.5,20.3,3.8,11.7,0.0,72.3
20130423,6.4,22.3,3.1,12.1,0.0,63.5
20130424,5.4,22.4,2.2,12.2,0.0,62.7
20130425,7.9,22.2,6.7,14.5,0.0,73.6
20130426,13.9,23.2,7.8,15.6,0.0,54.9
20130427,8.3,20.6,2.4,11.8,0.0,54.4
20130428,7.2,22.9,3.8,12.9,0.0,70.4
20130429,10.4,24.7,7.1,14.9,0.0,64.4
20130430,9.6,25.3,7.9,16.0,0.0,70.3
20130501,13.8,28.8,10.5,18.1,0.0,69.0
20130502,10.6,27.8,8.4,17.3,0.0,69.0
20130503,13.9,28.8,8.3,18.7,0.0,62.7
20130504,14.7,28.4,11.4,19.4,0.0,66.4
20130505,17.5,27.7,14.8,20.2,0.0,67.2
20130506,16.2,21.8,8.0,15.5,0.0,51.3
20130507,9.6,23.5,7.4,15.0,0.0,73.6
20130508,10.8,23.7,10.1,16.1,0.0,64.9
20130509,14.3,19.4,11.0,14.5,11.9,82.0
20130510,14.4,18.9,11.8,15.1,22.1,88.4
20130511,13.1,24.9,11.7,17.9,0.0,83.2
20130512,15.9,23.1,14.2,18.6,0.0,84.5
20130513,13.5,24.5,11.3,16.4,2.5,84.1
