datadate,초기온도(℃),최대온도(℃),최저온도(℃),평균온도(℃),강수량(ml),습도(%)
20130101,0.3,9.1,-2.9,4.2,0.0,60.4
20130102,1.5,10.1,1.2,7.4,0.0,53.8
20130103,2.2,10.2,1.0,5.1,0.0,45.5
20130104,6.1,9.2,-1.0,5.0,0.0,55.3
20130105,-0.8,2.2,-1.3,1.2,7.0,91.5
20130106,1.2,7.6,1.0,2.7,9.0,93.3
20130107,-0.5,9.7,-1.3,3.8,0.0,86.0
20130108,3.5,5.6,3.0,4.1,3.8,96.8
20130109,3.0,8.1,1.0,4.1,5.5,65.8
20130110,0.9,3.5,-2.3,0.7,0.0,29.7
20130111,-3.1,1.6,-6.3,-3.4,0.0,25.1
20130112,-0.3,3.6,-2.2,1.6,0.0,30.7
20130113,-2.9,-1.0,-5.2,-3.3,0.0,30.3
20130114,-5.7,-2.9,-8.8,-6.4,0.0,27.7
20130115,-7.1,2.9,-8.7,-3.3,0.0,28.5
20130116,-3.3,3.1,-5.7,-2.2,0.0,54.5
20130117,-5.3,5.5,-7.2,-2.7,0.0,60.3
20130118,-1.5,5.2,-3.6,2.1,0.0,45.7
20130119,0.3,5.3,-4.7,-0.3,0.0,59.2
20130120,-3.3,-1.0,-6.6,-2.9,15.0,84.7
20130121,-6.9,-1.0,-9.5,-5.4,18.5,75.0
20130122,-5.4,-2.4,-9.0,-5.4,0.0,47.7
20130123,-8.7,-1.9,-11.0,-6.9,0.0,46.9
20130124,-5.2,-1.0,-10.8,-6.3,0.0,50.1
20130125,-9.5,2.7,-12.3,-7.1,0.0,68.4
20130126,-9.4,7.2,-10.8,-1.8,0.0,60.6
20130127,5.1,6.7,-4.2,2.9,1.0,41.3
20130128,-4.5,5.2,-7.5,-2.1,1.0,62.6
20130129,0.6,4.9,1.0,2.3,3.5,81.5
20130130,0.1,2.5,-6.5,-2.7,8.9,88.9
20130131,-6.3,1.7,-11.0,-5.5,10.5,68.4
20130201,-0.6,3.9,-4.0,-0.6,0.0,39.5
20130202,-4.3,6.2,-7.2,1.6,0.0,29.2
20130203,3.2,8.7,1.0,4.1,0.0,33.7
20130204,-1.5,9.6,-4.4,1.7,0.0,63.9
20130205,5.5,6.6,1.0,4.0,0.0,67.2
20130206,2.1,4.7,-1.5,2.1,0.0,50.0
20130207,-1.9,4.9,-4.9,-0.6,0.0,57.1
20130208,-1.2,5.9,-3.6,0.9,0.0,63.6
