datadate,초기온도(℃),최대온도(℃),최저온도(℃),평균온도(℃),강수량(ml),습도(%)
20130101,-7.1,-3.9,-7.5,-5.8,0.0, 
20130102,-4.3,-2.1,-5.8,-3.5,0.0, 
20130103,-6.2,-2.9,-8.1,-5.8,0.0, 
20130104,-6.0,-1.0,-6.7,-4.6,0.0, 
20130105,-4.8,-4.1,-6.2,-5.0,4.6, 
20130106,-5.5,-2.1,-5.6,-4.2,8.0, 
20130107,-3.7,4.8,-3.9,-1.2,0.0, 
20130108,-0.9,-1.0,-2.8,-2.2,10.1, 
20130109,-2.3,-1.8,-9.5,-5.7,15.9, 
20130110,-10.0,-9.5,-15.4,-12.5,0.0, 
20130111,-15.8,-10.7,-18.1,-14.5,0.0, 
20130112,-11.9,-9.1,-15.3,-11.7,0.0, 
20130113,-15.9,-12.3,-17.6,-15.3,0.0, 
20130114,-18.5,-15.6,-20.9,-18.6,0.0, 
20130115,-18.3,-9.8,-18.5,-13.8,0.0, 
20130116,-12.2,-5.8,-13.2,-10.1,0.0, 
20130117,-9.2,-4.5,-9.3,-7.6,0.0, 
20130118,-9.4,-7.8,-11.1,-9.6,0.0, 
20130119,-10.5,-2.3,-10.6,-6.6,0.0, 
20130120,-8.3,-7.9,-13.0,-10.5,12.1, 
20130121,-12.6,-11.9,-15.3,-13.2,15.0, 
20130122,-12.0,-11.9,-20.2,-16.7,2.4, 
20130123,-20.1,-13.6,-20.9,-17.5,2.5, 
20130124,-16.6,-10.4,-18.0,-14.1,0.0, 
20130125,-11.7,-7.2,-13.2,-10.9,0.0, 
20130126,-7.5,-5.9,-9.4,-7.6,0.0, 
20130127,-6.3,-5.3,-13.2,-9.5,5.8, 
20130128,-9.8,-1.0,-11.6,-5.6,0.0, 
20130129,-3.0,-3.0,-5.9,-4.1,3.5, 
20130130,-5.3,-5.1,-14.2,-9.5,5.3, 
20130131,-14.8,-9.7,-15.0,-12.0,0.0, 
20130201,-13.0,-8.2,-13.8,-11.9,0.0, 
20130202,-11.8,-6.9,-13.3,-9.9,0.0, 
20130203,-9.4,-3.8,-10.8,-7.1,0.0, 
20130204,-4.8,-1.0,-5.6,-3.3,0.0, 
20130205,-4.6,-3.1,-8.1,-5.1,1.0, 
20130206,-8.5,-7.9,-12.0,-9.7,1.0, 
20130207,-10.1,-4.2,-10.1,-7.1,0.0, 
20130208,-6.4,-2.5,-10.6,-6.5,0.0, 
20130209,-11.2,-10.5,-16.7,-13.3,0.0, 
20130210,-17.0,-13.1,-19.7,-16.8,0.0, 
20130211,-17.9,-10.4,-18.8,-14.9,0.0, 
20130212,-13.3,-6.4,-14.9,-11.2,0.0, 
20130213,-10.6,-5.5,-12.2,-9.3,0.0, 
20130214,-9.7,-2.9,-10.7,-7.4,0.0, 
20130215,-8.0,-1.4,-8.3,-4.8,0.0, 
20130216,-4.0,1.5,-4.9,-3.2,0.0, 
20130217,1.6,1.7,-9.7,-3.2,1.9, 
20130218,-10.3,-6.8,-13.9,-10.6,2.0, 
20130219,-11.9,-3.5,-12.4,-8.4,1.2, 
20130220,-3.0,-2.1,-12.2,-7.7,1.5, 
20130221,-11.8,-1.3,-12.3,-6.7,1.5, 
20130222,-4.1,-2.0,-6.1,-3.9,2.1, 
20130223,-4.7,-4.2,-11.6,-8.2,2.5, 
20130224,-12.2,-5.9,-14.8,-10.7,0.0, 
20130225,-9.6,-2.7,-10.9,-7.5,0.0, 
20130226,-7.5,-2.0,-8.8,-5.9,0.0, 
20130227,-4.9,-1.0,-6.2,-4.0,0.0, 
20130228,-4.8,1.2,-5.9,-3.6,0.0, 
20130301,-2.4,-1.0,-4.1,-2.7,0.0, 
20130302,-4.1,-3.5,-9.0,-5.1,6.4, 
20130303,-9.2,-1.1,-9.5,-5.1,7.5, 
20130304,-4.6,2.2,-5.4,-3.5,0.0, 
20130305,-2.5,2.3,-4.4,-2.2,0.0, 
20130306,-4.0,-3.8,-12.4,-7.9,0.0, 
20130307,-12.8,-6.6,-14.5,-11.3,0.0, 
20130308,-12.7,-6.2,-14.7,-10.6,0.0, 
20130309,-8.8,-3.0,-11.7,-7.6,0.0, 
20130310,-8.1,-1.0,-9.4,-5.9,0.0, 
20130311,-4.0,5.9,-5.2,-0.2,0.0, 
20130312,0.9,1.7,-1.5,0.2,0.0, 
20130313,-1.4,2.3,-6.1,-2.6,0.0, 
20130314,-2.6,-2.0,-6.1,-4.8,0.0, 
20130315,-6.3,-1.0,-7.5,-4.3,0.0, 
20130316,-1.9,3.2,-3.2,-1.5,0.0, 
20130317,-1.5,5.2,-2.9,0.6,0.0, 
20130318,1.0,5.2,1.0,2.9,0.0, 
20130319,0.2,8.2,-1.7,3.9,0.0, 
20130320,3.9,6.6,1.7,4.0,0.0, 
20130321,1.7,1.9,-5.1,-2.8,6.3, 
20130322,-3.3,3.7,-5.9,-1.9,7.5, 
20130323,-1.3,-1.0,-5.1,-2.1,0.0, 
20130324,-3.9,-1.0,-4.6,-3.0,0.0, 
20130325,-2.9,-1.0,-3.2,-2.3,5.7, 
20130326,-2.9,-1.0,-3.8,-2.8,3.9, 
20130327,-3.4,-2.2,-4.3,-3.3,3.0, 
20130328,-3.6,-1.0,-4.9,-3.1,1.0, 
20130329,-2.4,5.3,-4.1,0.3,0.0, 
20130330,1.0,8.3,1.0,3.8,0.0, 
20130331,-0.1,-1.0,-2.8,-2.1,12.0, 
20130401,-2.1,-1.0,-4.1,-2.5,3.9, 
20130402,-3.5,5.2,-4.9,-0.3,4.0, 
20130403,1.1,10.7,1.0,6.3,0.0, 
20130404,5.4,11.0,3.2,7.0,0.0, 
20130405,6.0,6.6,2.4,4.3,3.1, 
20130406,6.6,7.2,3.1,5.8,6.5, 
20130407,5.9,13.4,3.1,9.1,7.0, 
20130408,9.5,14.7,5.0,9.3,0.0, 
20130409,7.2,8.9,1.0,3.3,5.6, 
20130410,1.9,7.6,1.0,3.9,6.5, 
20130411,4.2,12.2,2.8,6.8,0.0, 
20130412,4.7,6.3,-1.5,3.6,0.0, 
20130413,-1.2,9.6,-3.3,3.0,0.0, 
20130414,4.9,10.6,2.3,4.9,1.9, 
20130415,4.3,13.5,3.8,7.8,2.0, 
20130416,8.0,17.5,6.7,11.2,0.0, 
20130417,12.6,13.4,3.3,8.1,9.8, 
20130418,3.3,5.3,1.0,3.7,7.4, 
20130419,-0.6,10.3,-1.2,5.3,8.5, 
20130420,3.5,9.1,1.0,4.1,0.0, 
20130421,2.8,8.1,1.0,3.5,0.0, 
20130422,3.1,11.4,1.1,6.1,0.0, 
20130423,6.0,13.9,4.0,7.9,0.0, 
20130424,5.8,13.6,4.2,7.4,0.0, 
20130425,4.5,13.2,3.8,7.4,0.0, 
20130426,7.0,9.3,2.0,5.3,0.0, 
20130427,1.9,10.6,1.0,5.3,0.0, 
20130428,3.3,13.2,2.1,6.6,0.0, 
20130429,6.1,16.1,2.7,9.2,0.0, 
20130430,9.7,20.4,6.4,12.5,0.0, 
20130501,6.5,16.0,4.5,10.2,0.0, 
20130502,13.1,18.5,10.0,14.3,0.0, 
20130503,12.7,22.0,11.7,15.9,0.0, 
20130504,13.1,19.9,11.7,14.6,0.0, 
20130505,12.1,18.9,9.4,13.1,0.0, 
20130506,9.2,11.3,2.8,6.5,0.0, 
20130507,3.3,14.3,2.5,7.7,0.0, 
20130508,6.7,16.7,5.9,10.7,0.0, 
20130509,10.6,13.4,5.4,9.3,1.8, 
20130510,6.3,12.6,5.9,7.7,3.0, 
20130511,8.1,17.3,6.7,11.1,0.0, 
20130512,11.4,12.4,9.4,11.2,0.0, 
20130513,9.8,14.8,4.5,9.3,11.8, 
20130514,4.6,10.3,3.2,6.1,13.5, 
20130515,5.1,9.8,3.3,5.9,0.0, 
20130516,5.5,13.5,5.1,8.3,0.0, 
20130517,8.0,16.1,7.4,11.0,0.0, 
20130518,10.3,18.9,9.1,13.3,0.0, 
20130519,10.9,16.5,9.8,11.7,0.0, 
20130520,12.7,24.8,12.7,19.4,0.0, 
20130521,16.2,20.7,12.8,16.3,0.0, 
20130522,13.7,18.7,10.4,13.7,0.0, 
20130523,11.5,13.9,8.4,10.7,4.5, 
20130524,10.5,19.0,9.0,12.9,4.5, 
20130525,12.2,15.1,2.3,9.5,4.5, 
20130526,2.5,8.2,1.8,5.0,0.0, 
20130527,7.0,15.1,6.0,10.3,0.0, 
20130528,11.4,17.9,9.9,13.3,0.0, 
20130529,12.8,22.3,11.2,16.4,0.0, 
20130530,13.5,18.7,11.7,14.7,0.0, 
20130531,14.6,19.6,12.8,15.8,0.0, 
20130601,12.9,16.4,6.1,11.1,5.5, 
20130602,4.7,14.6,4.3,8.6,12.1, 
20130603,8.5,12.6,5.3,9.1,0.0, 
20130604,8.3,16.7,6.7,10.6,1.0, 
20130605,8.5,13.0,7.1,10.1,1.0, 
20130606,12.3,17.0,8.3,12.1,6.6, 
20130607,8.3,12.7,8.2,10.9,13.6, 
20130608,10.0,17.4,7.4,11.9,18.0, 
20130609,10.5,17.0,8.8,11.3,11.5, 
20130610,11.1,16.9,7.6,11.6,1.8, 
20130611,11.5,15.3,7.2,11.3,1.0, 
20130612,7.7,10.6,6.0,8.2,1.4, 
20130613,9.2,15.8,7.9,11.1,11.7, 
20130614,9.7,17.7,8.8,12.8,13.5, 
20130615,13.3,21.8,10.1,14.5,0.0, 
20130616,11.0,19.5,10.6,13.9,0.0, 
20130617,16.6,23.5,13.8,18.2,0.0, 
20130618,17.4,25.3,15.6,19.9,0.0, 
20130619,18.1,22.9,16.4,19.1,0.0, 
20130620,17.4,22.0,16.6,18.4,0.0, 
20130621,16.0,20.8,11.9,16.2,4.5, 
20130622,14.0,22.3,12.4,16.5,4.5, 
20130623,15.7,21.7,15.2,17.6,0.0, 
20130624,17.9,21.3,14.7,17.5,2.3, 
20130625,15.1,18.1,12.2,14.7,1.8, 
20130626,12.8,14.4,12.5,13.2,84.1, 
20130627,12.6,20.2,12.5,16.1,102.5, 
20130628,16.5,21.3,14.9,17.3,0.0, 
20130629,17.0,23.4,15.1,18.6,0.0, 
20130630,16.7,23.0,15.2,18.2,0.0, 
20130701,16.0,20.2,14.9,16.8,0.0, 
20130702,16.8,18.9,16.5,17.5,4.3, 
20130703,17.5,19.0,16.0,17.4,48.6, 
20130704,17.2,19.8,15.1,17.3,8.7, 
20130705,17.0,22.2,15.7,18.6,1.0, 
20130706,18.5,24.0,16.5,19.7,0.0, 
20130707,18.6,24.3,17.8,19.8,2.3, 
20130708,19.0,19.5,17.0,18.8,86.9, 
20130709,18.6,24.4,18.1,20.3,130.0, 
20130710,19.0,20.0,17.5,18.9,24.9, 
20130711,17.5,21.8,16.4,18.4,10.8, 
20130712,17.8,23.8,16.5,19.5,8.0, 
20130713,18.3,24.6,17.5,20.6,0.0, 
20130714,18.4,25.0,17.4,20.1,0.0, 
20130715,18.6,20.4,17.9,18.5,5.3, 
20130716,18.3,21.2,17.7,18.9,6.1, 
20130717,18.7,22.2,18.0,19.3,0.0, 
20130718,18.3,23.5,17.2,19.5,0.0, 
20130719,19.7,27.9,17.6,21.6,0.0, 
20130720,20.0,25.4,19.2,21.6,0.0, 
20130721,20.3,22.3,19.5,20.6,4.0, 
20130722,21.0,21.0,16.3,18.7,37.6, 
20130723,20.2,20.8,16.9,19.8,33.7, 
20130724,19.3,21.9,18.7,19.5,12.7, 
20130725,18.6,18.8,15.4,17.6,28.6, 
20130726,15.5,20.4,13.8,16.5,48.5, 
20130727,17.9,22.0,16.6,18.7,0.0, 
20130728,18.3,20.2,17.1,18.3,5.8, 
20130729,17.2,18.0,16.0,17.1,7.3, 
20130730,16.1,22.2,16.1,17.6,9.0, 
20130731,18.0,20.1,17.7,18.6,0.0, 
20130801,17.9,24.7,17.4,19.6,0.0, 
20130802,19.6,24.1,18.4,20.6,0.0, 
20130803,19.7,23.1,17.4,19.4,0.0, 
20130804,17.9,25.9,17.8,20.5,0.0, 
20130805,20.9,26.3,20.3,22.2,0.0, 
20130806,22.9,25.4,18.6,22.4,13.0, 
20130807,19.4,25.6,18.1,21.3,0.0, 
20130808,17.6,24.3,16.9,18.9,0.0, 
20130809,18.1,19.8,16.8,17.8,15.5, 
20130810,17.6,18.2,16.7,17.3,101.5, 
20130811,16.8,17.6,14.6,16.1,98.2, 
20130812,14.9,17.6,13.7,15.7,8.2, 
20130813,14.3,17.0,14.0,15.0,1.3, 
20130814,14.5,15.8,14.4,15.2,22.5, 
20130815,15.6,16.3,12.6,14.9,79.4, 
20130816,14.0,15.7,12.5,13.9,30.7, 
20130817,13.6,17.1,12.8,15.6,11.1, 
20130818,15.8,18.0,15.5,16.4,13.9, 
20130819,15.9,18.2,15.6,16.5,4.7, 
20130820,16.0,16.9,15.6,16.2,23.9, 
20130821,17.0,18.5,16.6,17.6,14.5, 
20130822,17.7,18.9,16.4,17.6,19.0, 
20130823,18.4,20.2,16.9,18.7,27.5, 
20130824,19.7,20.2,16.2,19.0,18.0, 
20130825,15.8,20.7,13.1,16.0,31.0, 
20130826,13.1,18.0,10.3,14.0,0.0, 
20130827,13.2,19.8,12.5,15.4,0.0, 
20130828,15.4,16.9,11.3,13.9,6.3, 
20130829,13.3,17.3,9.9,12.7,8.5, 
20130830,9.8,14.7,8.7,11.6,0.0, 
20130831,10.8,15.0,9.2,11.5,0.0, 
20130901,14.8,14.9,11.6,13.1,0.0, 
20130902,11.8,17.4,11.4,13.7,0.0, 
20130903,14.1,20.4,13.4,16.6,0.0, 
20130904,14.4,20.1,13.5,15.8,0.0, 
20130905,14.3,17.3,13.2,14.6,0.0, 
20130906,12.9,16.8,12.4,13.6,0.0, 
20130907,12.7,19.4,12.0,14.5,0.0, 
20130908,13.8,20.5,12.0,15.7,0.0, 
20130909,14.6,21.6,13.5,17.2,0.0, 
20130910,14.9,19.6,14.0,15.8,0.0, 
20130911,15.5,15.5,9.9,11.7,10.0, 
20130912,11.2,17.8,10.5,13.7,11.5, 
20130913,10.8,17.0,9.1,12.4,0.0, 
20130914,11.4,15.9,9.4,11.8,0.0, 
20130915,10.5,13.6,9.0,10.7,0.0, 
20130916,9.2,11.9,8.2,10.2,0.0, 
20130917,10.8,12.4,8.1,10.5,13.9, 
20130918,8.4,15.6,8.1,11.7,19.0, 
20130919,11.5,16.1,9.0,12.2,14.2, 
20130920,10.4,15.1,4.7,9.9,15.5, 
20130921,10.0,17.1,8.9,12.7,0.0, 
20130922,11.1,17.1,10.0,12.3,0.0, 
20130923,10.1,17.8,9.1,12.4,0.0, 
20130924,11.9,17.9,10.7,13.5,0.0, 
20130925,13.8,16.4,11.8,13.2,0.0, 
20130926,12.3,21.1,12.2,16.6,0.0, 
20130927,16.5,17.1,9.8,13.1,24.9, 
20130928,9.8,13.7,3.6,9.6,2.4, 
20130929,3.6,10.4,1.9,5.9,0.0, 
20130930,5.7,13.1,5.7,9.5,0.0, 
20131001,10.7,15.0,10.5,12.3,0.0, 
20131002,11.5,14.3,9.4,11.8,0.0, 
20131003,9.5,9.8,4.1,6.6,10.9, 
20131004,4.1,8.2,2.8,5.0,12.5, 
20131005,6.3,13.4,6.1,8.8,0.0, 
20131006,8.9,12.4,7.9,9.2,14.8, 
20131007,10.3,13.4,10.3,11.7,1.9, 
20131008,12.4,18.4,12.1,13.8,2.0, 
20131009,12.6,16.4,11.9,13.2,0.0, 
20131010,12.1,12.3,7.6,9.9,5.9, 
20131011,8.3,9.8,4.3,7.3,17.2, 
20131012,5.0,6.5,3.0,4.8,20.0, 
20131013,3.0,9.6,1.0,4.1,0.0, 
20131014,2.5,10.3,1.3,4.8,0.0, 
20131015,5.0,11.0,3.3,6.1,0.0, 
20131016,7.1,11.5,5.5,7.6,0.0, 
20131017,6.0,12.0,3.8,6.5,0.0, 
20131018,6.3,10.4,4.4,6.3,0.0, 
20131019,5.4,10.7,4.5,6.9,0.0, 
20131020,7.1,13.2,6.2,8.6,0.0, 
20131021,8.3,14.6,7.4,9.8,0.0, 
20131022,8.3,8.3,1.0,5.1,22.9, 
20131023,1.2,4.9,1.0,2.8,35.0, 
20131024,3.5,9.0,2.0,5.1,0.0, 
20131025,4.5,11.4,3.0,6.7,0.0, 
20131026,8.3,11.9,6.5,8.7,0.0, 
20131027,9.9,13.3,7.1,9.4,0.0, 
20131028,7.1,12.9,6.4,8.8,0.0, 
20131029,8.7,10.5,-1.9,6.6,0.0, 
20131030,-1.8,4.1,-3.9,-0.5,0.0, 
20131031,0.5,5.7,-1.0,3.0,0.0, 
20131101,1.2,32.4,1.1,4.1,0.0, 
20131102,4.7,8.9,4.5,6.2,0.0, 
20131103,6.7,6.8,-2.7,4.1,10.4, 
20131104,-2.7,-1.0,-3.6,-2.8,2.7, 
20131105,-2.6,4.4,-4.3,-0.3,3.5, 
20131106,-0.6,8.3,-1.5,3.0,0.0, 
20131107,2.5,7.4,1.6,4.9,0.0, 
20131108,6.6,7.5,1.0,4.9,0.0, 
20131109,0.5,8.4,1.0,4.6,0.0, 
20131110,4.7,4.7,-4.2,2.7,3.2, 
20131111,-4.3,1.1,-6.8,-4.3,3.5, 
20131112,-3.1,4.2,-4.1,-0.4,0.0, 
20131113,-0.8,2.0,-2.7,-0.9,0.0, 
20131114,1.4,1.4,-6.7,-3.0,0.0, 
20131115,-6.7,-5.8,-11.0,-7.8,0.0, 
20131116,-10.8,-4.0,-12.3,-7.9,0.0, 
20131117,-4.2,-1.0,-6.1,-4.0,0.0, 
20131118,-6.1,-6.1,-14.0,-9.9,0.0, 
20131119,-13.9,-8.3,-15.8,-12.1,0.0, 
20131120,-11.3,-6.4,-13.1,-9.9,0.0, 
20131121,-6.6,-2.6,-8.5,-5.8,0.0, 
20131122,-7.0,-2.4,-9.4,-5.0,0.0, 
20131123,-9.4,-8.7,-11.9,-10.2,0.0, 
20131124,-10.8,-8.6,-12.7,-11.1,0.0, 
20131125,-11.8,-3.1,-11.9,-7.0,10.0, 
20131126,-3.5,-3.5,-8.4,-6.0,13.0, 
20131127,-6.6,-1.0,-6.6,-3.4,0.0, 
20131128,-1.0,1.3,-1.5,-0.7,0.0, 
20131129,-0.1,-1.0,-4.7,-3.1,0.0, 
20131130,-4.6,-4.6,-14.3,-9.1,0.0, 
20131201,-14.4,-9.6,-16.5,-12.8,0.0, 
20131202,-12.3,-6.0,-12.5,-8.6,0.0, 
20131203,-6.1,-2.9,-6.3,-4.2,0.0, 
