datadate,수출중량(kg),수출금액(달러),수입중량(kg),수입금액(달러),무역수지(달러)
201301,3410.0,3782.0,6524900.0,2258222.0,-2254440.0
201302,220.0,754.0,10789454.0,3609353.0,-3608599.0
201303,185.0,880.0,14559153.0,4663694.0,-4662814.0
201304,1878.0,4048.0,9308208.0,3309728.0,-3305680.0
201305,7010.0,5437.0,676800.0,251444.0,-246007.0
201306,102778.0,93378.0,4008000.0,1095926.0,-1002548.0
201307,7390.0,6505.0,11324792.0,2871122.0,-2864617.0
201308,2568.0,3830.0,18612320.0,4858151.0,-4854321.0
201309,6410.0,6546.0,17763753.0,4689659.0,-4683113.0
201310,1110.0,1235.0,17081870.0,5503980.0,-5502745.0
201311,403250.0,189617.0,24601852.0,9111781.0,-8922164.0
201312,7420.0,8081.0,13155098.0,4346005.0,-4337924.0
201401,2675.0,3399.0,12391990.0,4128318.0,-4124919.0
201402,2165.0,3049.0,8259545.0,2648635.0,-2645586.0
201403,4862.0,8011.0,8794960.0,2864931.0,-2856920.0
201404,250.0,600.0,5054343.0,1580611.0,-1580011.0
201405,34860.0,9654.0,3807200.0,1168481.0,-1158827.0
201406,154875.0,60395.0,3433140.0,1018874.0,-958479.0
201407,2294940.0,719305.0,2278380.0,614573.0,104732.0
201408,437110.0,123194.0,3763350.0,1004030.0,-880836.0
201409,122146.0,29566.0,2259900.0,608089.0,-578523.0
201410,4805.0,4172.0,2310700.0,634060.0,-629888.0
201411,144725.0,43915.0,3840545.0,1074455.0,-1030540.0
201412,232240.0,42201.0,1821445.0,506812.0,-464611.0
201501,821330.0,222058.0,4003206.0,1117737.0,-895679.0
201502,165470.0,56748.0,2319079.0,728024.0,-671276.0
201503,4710.0,3420.0,3707265.0,1133690.0,-1130270.0
201504,10375.0,1060.0,4452470.0,1440842.0,-1439782.0
201505,912260.0,375168.0,1269000.0,516257.0,-141089.0
201506,10153041.0,3516159.0,527000.0,202443.0,3313716.0
201507,20949417.0,6401757.0,1529100.0,460490.0,5941267.0
201508,6298833.0,1999051.0,528000.0,197359.0,1801692.0
201509,3558274.0,1301010.0,1553900.0,429124.0,871886.0
201510,5975112.0,2209601.0,343000.0,123449.0,2086152.0
201511,1559163.0,575254.0,2107500.0,560995.0,14259.0
201512,1886.0,2070.0,412000.0,128624.0,-126554.0
201601,4290.0,5447.0,1628000.0,447900.0,-442453.0
201602,20256.0,32142.0,1519220.0,503331.0,-471189.0
201603,1899.0,3875.0,3025090.0,1118657.0,-1114782.0
201604,4835.0,8587.0,2941200.0,1027904.0,-1019317.0
201605,54785.0,26760.0,683960.0,243161.0,-216401.0
201606,1423146.0,618529.0,590005.0,154804.0,463725.0
201607,3490935.0,1714749.0,1109000.0,250622.0,1464127.0
201608,607496.0,308154.0,2585795.0,583021.0,-274867.0
201609,2625.0,3943.0,2141790.0,567614.0,-563671.0
201610,7335.0,12390.0,3984216.0,1213346.0,-1200956.0
201611,2295.0,5525.0,3547341.0,1253631.0,-1248106.0
201612,2046.0,5225.0,4729435.0,1655392.0,-1650167.0
201301,0.0,0.0,855210.0,450834.0,-450834.0
201302,0.0,0.0,672553.0,360388.0,-360388.0
201303,0.0,0.0,679400.0,360390.0,-360390.0
201304,0.0,0.0,666910.0,347480.0,-347480.0
201305,0.0,0.0,652200.0,355240.0,-355240.0
201306,0.0,0.0,645110.0,346189.0,-346189.0
201307,0.0,0.0,659896.0,339250.0,-339250.0
201308,0.0,0.0,1043630.0,529752.0,-529752.0
201309,0.0,0.0,1117180.0,573483.0,-573483.0
201310,0.0,0.0,544201.0,284100.0,-284100.0
201311,0.0,0.0,954490.0,486328.0,-486328.0
201312,0.0,0.0,743210.0,383767.0,-383767.0
201401,0.0,0.0,892905.0,471177.0,-471177.0
201402,0.0,0.0,649932.0,345577.0,-345577.0
201403,24000.0,10800.0,1090540.0,546200.0,-535400.0
201404,0.0,0.0,919900.0,474588.0,-474588.0
201405,0.0,0.0,773350.0,414864.0,-414864.0
201406,0.0,0.0,713930.0,390414.0,-390414.0
201407,0.0,0.0,835831.0,417471.0,-417471.0
201408,0.0,0.0,868992.0,447528.0,-447528.0
201409,0.0,0.0,875984.0,443019.0,-443019.0
201410,0.0,0.0,1048640.0,534390.0,-534390.0
201411,0.0,0.0,1091680.0,565265.0,-565265.0
201412,0.0,0.0,881050.0,458987.0,-458987.0
201501,0.0,0.0,1319037.0,688602.0,-688602.0
201502,0.0,0.0,689630.0,360093.0,-360093.0
201503,20.0,1.0,834998.0,414003.0,-414002.0
201504,0.0,0.0,803830.0,397777.0,-397777.0
201505,0.0,0.0,840578.0,433576.0,-433576.0
201506,0.0,0.0,785635.0,454009.0,-454009.0
201507,0.0,0.0,838667.0,425026.0,-425026.0
201508,0.0,0.0,615495.0,326002.0,-326002.0
201509,0.0,0.0,787702.0,410833.0,-410833.0
201510,0.0,0.0,1269060.0,783444.0,-783444.0
201511,0.0,0.0,811145.0,472889.0,-472889.0
201512,0.0,0.0,855040.0,460464.0,-460464.0
201601,0.0,0.0,959660.0,552641.0,-552641.0
201602,0.0,0.0,483540.0,267547.0,-267547.0
201603,0.0,0.0,861510.0,494495.0,-494495.0
201604,0.0,0.0,802892.0,480980.0,-480980.0
201605,0.0,0.0,797706.0,436311.0,-436311.0
201606,0.0,0.0,1095930.0,687728.0,-687728.0
201607,0.0,0.0,919290.0,512408.0,-512408.0
201608,0.0,0.0,1010710.0,542945.0,-542945.0
201609,0.0,0.0,1160700.0,733300.0,-733300.0
201610,0.0,0.0,963430.0,482945.0,-482945.0
201611,0.0,0.0,973730.0,541193.0,-541193.0
201612,0.0,0.0,1157510.0,654406.0,-654406.0
201301,0.0,0.0,110725.0,155969.0,-155969.0
201302,0.0,0.0,196638.0,286771.0,-286771.0
201303,0.0,0.0,172103.0,259890.0,-259890.0
201304,0.0,0.0,134956.0,161602.0,-161602.0
201305,0.0,0.0,85504.0,113846.0,-113846.0
201306,0.0,0.0,133230.0,198045.0,-198045.0
201307,0.0,0.0,61336.0,189542.0,-189542.0
201308,0.0,0.0,129957.0,175933.0,-175933.0
201309,48.0,466.0,146903.0,169133.0,-168667.0
201310,0.0,0.0,150076.0,261214.0,-261214.0
201311,0.0,0.0,178786.0,208373.0,-208373.0
201312,0.0,0.0,187700.0,162013.0,-162013.0
201401,0.0,0.0,167415.0,228439.0,-228439.0
201402,0.0,0.0,178647.0,209055.0,-209055.0
201403,0.0,0.0,176492.0,276690.0,-276690.0
201404,0.0,0.0,130825.0,138987.0,-138987.0
201405,0.0,0.0,170283.0,213232.0,-213232.0
201406,6.0,97.0,85927.0,167742.0,-167645.0
201407,6.0,96.0,169695.0,212828.0,-212732.0
201408,0.0,0.0,104211.0,122414.0,-122414.0
201409,0.0,0.0,78285.0,130392.0,-130392.0
201410,0.0,0.0,176704.0,257854.0,-257854.0
201411,0.0,0.0,86979.0,104453.0,-104453.0
201412,0.0,0.0,155112.0,169798.0,-169798.0
201501,0.0,0.0,249137.0,247698.0,-247698.0
201502,0.0,0.0,121253.0,222462.0,-222462.0
201503,0.0,0.0,111819.0,130519.0,-130519.0
201504,0.0,0.0,114791.0,107048.0,-107048.0
201505,6.0,92.0,194732.0,332255.0,-332163.0
201506,0.0,0.0,81468.0,69129.0,-69129.0
201507,6.0,89.0,129990.0,169531.0,-169442.0
201508,10000.0,4910.0,174261.0,265836.0,-260926.0
201509,0.0,0.0,196079.0,228866.0,-228866.0
201510,3.0,28.0,89150.0,148315.0,-148287.0
201511,1.0,8.0,206195.0,273604.0,-273596.0
201512,0.0,0.0,179137.0,251080.0,-251080.0
201601,0.0,0.0,215151.0,151799.0,-151799.0
201602,0.0,0.0,135995.0,271666.0,-271666.0
201603,24.0,224.0,306567.0,226660.0,-226436.0
201604,0.0,0.0,233531.0,307606.0,-307606.0
201605,24.0,239.0,247773.0,374342.0,-374103.0
201606,1.0,53.0,146129.0,160251.0,-160198.0
201607,0.0,0.0,122861.0,265327.0,-265327.0
201608,6.0,87.0,106840.0,104611.0,-104524.0
201609,0.0,0.0,72548.0,170328.0,-170328.0
201610,24.0,240.0,266864.0,378402.0,-378162.0
201611,54.0,592.0,265326.0,199352.0,-198760.0
201612,0.0,0.0,272484.0,243815.0,-243815.0
201301,0.0,0.0,911.0,3874.0,-3874.0
201302,0.0,0.0,98.0,767.0,-767.0
201303,0.0,0.0,1694.0,7955.0,-7955.0
201304,1950.0,2409.0,25.0,13.0,2396.0
201305,0.0,0.0,782.0,3288.0,-3288.0
201306,1035.0,2081.0,1501.0,3982.0,-1901.0
201307,0.0,0.0,1201.0,3096.0,-3096.0
201308,0.0,0.0,984.0,5488.0,-5488.0
201309,0.0,0.0,6.0,265.0,-265.0
201310,0.0,0.0,161.0,691.0,-691.0
201311,0.0,0.0,471.0,2104.0,-2104.0
201312,0.0,0.0,5897.0,14212.0,-14212.0
201401,0.0,0.0,1.0,8.0,-8.0
201402,0.0,0.0,450.0,1284.0,-1284.0
201403,0.0,0.0,708.0,3875.0,-3875.0
201404,0.0,0.0,781.0,3857.0,-3857.0
201405,0.0,0.0,3003.0,11760.0,-11760.0
201406,750.0,2113.0,2.0,20.0,2093.0
201407,750.0,1621.0,11.0,61.0,1560.0
201408,0.0,0.0,821.0,4043.0,-4043.0
201409,0.0,0.0,307.0,1277.0,-1277.0
201410,0.0,0.0,7.0,78.0,-78.0
201411,406.0,3981.0,6.0,96.0,3885.0
201412,0.0,0.0,754.0,1917.0,-1917.0
201501,0.0,0.0,7.0,83.0,-83.0
201502,0.0,0.0,1504.0,3825.0,-3825.0
201503,0.0,0.0,1053.0,4961.0,-4961.0
201504,0.0,0.0,1281.0,5963.0,-5963.0
201505,0.0,0.0,2.0,20.0,-20.0
201506,0.0,0.0,1504.0,8467.0,-8467.0
201507,0.0,0.0,427.0,2124.0,-2124.0
201508,0.0,0.0,11.0,129.0,-129.0
201509,0.0,0.0,15.0,187.0,-187.0
201510,0.0,0.0,2208.0,8641.0,-8641.0
201511,0.0,0.0,7.0,75.0,-75.0
201512,0.0,0.0,94.0,514.0,-514.0
201601,0.0,0.0,2525.0,10403.0,-10403.0
201602,0.0,0.0,6162.0,13043.0,-13043.0
201603,0.0,0.0,99.0,479.0,-479.0
201604,0.0,0.0,803.0,2925.0,-2925.0
201605,0.0,0.0,2681.0,9224.0,-9224.0
201606,0.0,0.0,8.0,55.0,-55.0
201607,0.0,0.0,113.0,513.0,-513.0
201608,0.0,0.0,917.0,2887.0,-2887.0
201609,0.0,0.0,1857.0,5765.0,-5765.0
