datadate,초기온도(℃),최대온도(℃),최저온도(℃),평균온도(℃),강수량(ml),습도(%)
20130101,0.1,9.2,-1.4,5.4,0.0,83.9
20130102,3.0,11.0,1.0,4.9,0.0,87.4
20130103,4.4,8.1,-3.4,2.4,0.0,83.3
20130104,-1.8,9.7,-2.1,4.2,0.0,81.3
20130105,-1.8,8.9,-2.3,3.5,0.0,74.9
20130106,5.4,10.8,1.0,6.2,0.0,69.7
20130107,0.1,10.5,-2.1,4.1,0.0,79.4
20130108,2.5,13.4,2.2,7.0,0.0,72.2
20130109,5.8,6.7,-2.7,4.0,0.0,76.0
20130110,-1.7,3.0,-6.2,-1.9,0.0,66.5
20130111,-4.8,1.6,-10.0,-4.7,0.0,61.9
20130112,-3.0,3.1,-5.2,-1.3,0.0,73.8
20130113,-5.4,-1.0,-9.2,-5.0,0.0,63.2
20130114,-6.9,-3.0,-9.7,-6.6,0.0,44.6
20130115,-8.6,-1.0,-14.2,-7.7,0.0,55.3
20130116,-9.1,2.6,-12.5,-6.3,0.0,64.4
20130117,-8.0,3.2,-10.5,-4.6,0.0,65.7
20130118,-4.3,4.6,-6.2,-1.3,0.0,81.4
20130119,-1.5,3.9,-3.4,-1.1,0.0,79.5
20130120,-1.7,-1.0,-8.6,-2.9,1.5,79.4
20130121,-9.8,-1.0,-11.8,-6.7,1.2,84.6
20130122,-1.1,-1.0,-10.3,-5.7,1.0,63.6
20130123,-8.6,-3.6,-15.2,-9.1,0.0,68.1
20130124,-12.2,-1.0,-15.4,-8.8,0.0,72.9
20130125,-10.6,1.4,-14.1,-8.4,0.0,72.2
20130126,-8.8,4.5,-12.0,-4.5,0.0,76.4
20130127,0.1,4.7,-6.3,-0.5,2.5,62.0
20130128,-6.9,6.2,-9.4,-2.3,2.5,63.3
20130129,1.2,3.9,1.0,2.0,2.8,72.5
20130130,0.5,-1.0,-9.5,-4.2,5.0,79.8
20130131,-10.0,-1.0,-12.0,-6.9,0.0,73.4
20130201,-7.3,2.3,-8.7,-4.1,0.0,65.5
20130202,-5.8,3.6,-10.9,-3.9,0.0,64.5
20130203,0.1,6.8,-3.0,1.6,0.0,76.9
20130204,-2.4,6.0,-5.0,0.5,0.0,80.3
20130205,2.4,4.8,1.0,2.5,0.0,82.1
20130206,-0.1,2.7,-4.3,-0.9,0.0,68.8
20130207,-4.5,3.7,-7.0,-2.4,0.0,72.3
20130208,-1.7,2.9,-5.8,-1.8,0.0,68.0
20130209,-1.5,-1.0,-5.6,-3.3,0.0,57.0
20130210,-6.2,-1.5,-7.3,-4.7,0.0,50.8
20130211,-6.4,-1.0,-9.4,-5.1,0.0,56.5
20130212,-3.6,5.2,-9.6,-2.9,0.0,70.4
20130213,-5.4,5.7,-8.0,-1.3,0.0,79.6
20130214,-0.1,6.4,-3.7,0.6,0.0,71.0
20130215,-4.6,8.6,-7.0,0.1,0.0,66.7
20130216,-1.9,13.9,-3.8,5.2,0.0,69.9
20130217,7.8,10.3,-2.5,4.2,3.8,72.7
20130218,-2.9,4.9,-7.2,-2.0,4.0,55.5
20130219,-3.6,9.3,-5.4,1.7,2.3,72.4
20130220,4.9,6.6,-4.3,2.0,5.7,70.4
20130221,-4.3,7.2,-7.7,-1.4,6.0,63.3
20130222,-0.2,3.5,-1.0,2.4,7.4,79.7
20130223,1.3,3.6,-2.6,1.3,11.0,67.2
20130224,-3.1,5.1,-6.6,-0.7,0.0,65.8
20130225,-1.5,9.2,-4.5,1.9,0.0,70.1
20130226,-0.9,9.5,-1.0,4.7,0.0,70.9
20130227,-1.5,10.3,-4.2,2.5,0.0,66.9
20130228,-1.6,12.5,-4.0,3.8,0.0,61.9
20130301,1.5,12.2,1.0,6.0,1.8,68.1
20130302,2.8,5.6,-1.0,3.0,1.6,79.0
20130303,-1.1,11.2,-4.2,2.9,1.5,68.6
20130304,-0.1,12.8,-3.0,4.8,0.0,67.4
20130305,0.8,11.8,-1.3,6.4,0.0,75.5
20130306,5.1,5.8,-1.2,3.3,0.0,56.2
20130307,-1.6,3.4,-2.1,0.5,0.0,52.2
20130308,-1.6,7.2,-6.3,0.5,0.0,61.3
20130309,1.1,11.5,-4.1,3.7,0.0,64.1
20130310,0.8,13.3,-4.1,4.4,0.0,58.0
20130311,-1.0,16.4,-3.9,5.7,0.0,50.1
20130312,1.9,15.6,-1.1,9.0,0.0,60.3
20130313,6.4,13.4,1.0,6.7,0.0,69.9
20130314,2.6,12.3,-2.7,5.1,0.0,63.2
20130315,0.5,13.0,-3.2,4.8,0.0,59.2
20130316,0.4,13.1,-3.2,5.2,0.0,55.9
20130317,0.8,15.5,-2.6,6.4,0.0,58.2
20130318,3.0,17.8,1.9,7.7,0.0,46.3
20130319,2.4,19.5,-1.2,10.6,0.0,50.6
20130320,4.8,15.2,1.0,8.6,0.0,59.1
20130321,7.0,13.4,3.2,7.7,0.0,61.3
20130322,4.8,14.1,-1.7,7.0,0.0,56.9
20130323,5.1,15.1,1.0,7.2,0.0,54.1
20130324,1.7,15.3,1.0,9.0,0.0,59.8
20130325,5.3,12.5,3.7,7.9,0.0,60.4
20130326,3.8,12.7,1.0,6.6,0.0,60.9
20130327,5.6,12.0,2.7,7.2,0.0,72.1
20130328,2.1,14.1,1.0,8.0,0.0,64.5
20130329,5.7,15.9,1.5,8.8,0.0,57.0
20130330,3.7,18.8,1.0,9.7,0.0,66.3
20130331,7.3,13.7,6.3,8.7,1.6,80.1
20130401,6.9,13.7,5.4,8.4,1.8,81.1
20130402,5.2,16.6,1.0,8.6,2.5,64.7
20130403,5.3,20.4,1.0,10.6,0.0,53.8
20130404,6.3,22.8,2.0,12.3,0.0,45.1
20130405,11.1,15.9,9.6,12.6,6.1,68.2
20130406,13.6,15.0,10.8,12.6,1.8,88.4
20130407,10.3,23.1,7.8,13.9,1.5,78.0
20130408,10.3,20.0,6.4,11.9,0.0,82.3
20130409,9.2,18.7,9.0,12.8,0.0,73.5
20130410,12.3,22.0,9.7,15.6,0.0,26.8
20130411,13.6,18.6,8.0,12.9,6.6,62.2
20130412,9.4,17.3,3.5,10.9,7.0,34.6
20130413,6.1,21.6,2.4,11.6,0.0,54.5
20130414,9.2,20.7,4.8,13.0,0.0,66.8
20130415,11.6,26.3,7.8,16.1,0.0,67.7
20130416,11.6,27.1,8.8,17.8,0.0,58.4
20130417,15.1,17.6,10.6,13.8,7.2,80.0
20130418,9.7,19.7,7.1,11.7,3.1,86.6
20130419,8.2,18.1,4.5,11.9,3.5,59.2
20130420,9.5,16.8,8.7,12.2,0.0,62.1
20130421,8.7,20.4,4.2,12.1,0.0,68.3
20130422,9.1,22.3,5.3,13.1,0.0,62.6
20130423,8.5,23.4,4.3,13.7,0.0,53.1
